Q	iVar	cType	cWidth
3383.47	1	0	0
7925.94	1	0	0
5974.74	1	0	0
3229.39	1	0	0
4087.83	1	0	0
4614.77	1	0	0
5617.17	1	0	0
4898.6	1	0	0
5547.06	1	0	0
3526.76	1	0	0
3142.73	1	0	0
7550.33	1	0	0
5285.75	1	0	0
3063.32	1	0	0
4867.4	1	0	0
9241.68	1	0	0
5210.03	1	0	0
8397.56	1	0	0
8997.81	1	0	0
7398.79	1	0	0
8057.89	1	0	0
6085.26	1	0	0
4856.46	1	0	0
4839.84	1	0	0
5886.56	1	0	0
9439.95	1	0	0
6270.86	1	0	0
5832.55	1	0	0
5958.48	1	0	0
9541.93	1	0	0
6809.99	1	0	0
6642.74	1	0	0
6762.55	1	0	0
5932.54	1	0	0
4955.89	1	0	0
6375.61	1	0	0
9257.29	1	0	0
4391.26	1	0	0
4835.26	1	0	0
9491.44	1	0	0
4499.09	1	0	0
4533.1	1	0	0
6063.27	1	0	0
7261.87	1	0	0
5210.78	1	0	0
5506.71	1	0	0
7953.91	1	0	0
5908.5	1	0	0
8168.4	1	0	0
4491.25	1	0	0
1896.38	1	0	0
5279.11	1	0	0
7024.17	1	0	0
7523.8	1	0	0
6272.87	1	0	0
7267.71	1	0	0
5326.22	1	0	0
7233.96	1	0	0
3420.64	1	0	0
6348.79	1	0	0
5920.82	1	0	0
5928.74	1	0	0
7246.57	1	0	0
4749.29	1	0	0
9962.97	1	0	0
8002.13	1	0	0
6426.31	1	0	0
4581.45	1	0	0
5002.35	1	0	0
5870.38	1	0	0
6233.12	1	0	0
5381.31	1	0	0
5316.96	1	0	0
6873.56	1	0	0
5017.3	1	0	0
4285.66	1	0	0
5353.58	1	0	0
6850.33	1	0	0
5085.83	1	0	0
5586.79	1	0	0
9543.71	1	0	0
4973.98	1	0	0
5214.39	1	0	0
7513.01	1	0	0
7383.32	1	0	0
5446.34	1	0	0
5933.62	1	0	0
8240.05	1	0	0
6410.25	1	0	0
8285.91	1	0	0
5886.46	1	0	0
4432.74	1	0	0
7942.2	1	0	0
6201.46	1	0	0
5106.42	1	0	0
5305.1	1	0	0
4001.42	1	0	0
4754.66	1	0	0
4778.61	1	0	0
4843.06	1	0	0
5403.04	1	0	0
5944.73	1	0	0
5324.67	1	0	0
3866.65	1	0	0
3527.2	1	0	0
8475.04	1	0	0
7286.07	1	0	0
7612.94	1	0	0
6555.08	1	0	0
4632.63	1	0	0
5933.87	1	0	0
7882.34	1	0	0
6636.4	1	0	0
5469.63	1	0	0
4292.12	1	0	0
6723.78	1	0	0
6299.38	1	0	0
6655.52	1	0	0
5155.56	1	0	0
5102.04	1	0	0
5147.37	1	0	0
5546.83	1	0	0
9193.33	1	0	0
9834	1	0	0
6632.01	1	0	0
8660.72	1	0	0
7725.93	1	0	0
4217.75	1	0	0
6174.02	1	0	0
6840.73	1	0	0
6802.88	1	0	0
9929.74	1	0	0
11431.9	1	0	0
5895.14	1	0	0
4006.79	1	0	0
5397.63	1	0	0
4135.43	1	0	0
6990.06	1	0	0
6834.74	1	0	0
6047.09	1	0	0
7226.46	1	0	0
5157.22	1	0	0
7212.77	1	0	0
7490.69	1	0	0
4507.89	1	0	0
8643.89	1	0	0
4368.09	1	0	0
6358.17	1	0	0
7172.55	1	0	0
4563.45	1	0	0
