"b1_9"     "a1"     "c1"     "b2_9"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-6.87271     10.4852     1.68956     -1.78618     132.858     1.71521     8.51334     101.657     1.64967     84.3906     0.00285407     -2114.72     -3.7146     -1.4547     8.51334     0     3     0
-6.18206     12.4328     1.68491     -1.89757     132.858     1.71521     8.68333     51.7931     1.68128     90.5803     0.00153609     -2117.88     -3.80029     -1.52499     8.68333     0     3     0
-6.06447     17.508     1.61805     -1.89757     132.858     1.71908     8.04317     67.2208     1.67503     91.9753     0.00213144     -2119.73     -4.13585     -1.16558     8.04317     0     3     0
-7.50051     16.0975     1.61805     -1.81467     131.704     1.71685     8.02525     67.2208     1.65966     103.845     0.00288731     -2118.68     -3.47437     -1.45166     8.02525     0     3     0
-6.69184     14.5047     1.65621     -1.80337     131.456     1.71725     8.02525     68.7271     1.65796     101.005     0.00288731     -2113.18     -3.52511     -1.42103     8.02525     0     3     0
-3.80882     13.919     1.67403     -1.79001     131.042     1.71869     8.30759     103.807     1.65793     95.7599     0.00406525     -2114.95     -3.77745     -1.45221     8.30759     0     3     0
-6.1806     12.0248     1.64788     -1.72217     132.008     1.71869     8.38962     72.635     1.6662     94.5459     0.00354157     -2117.34     -4.54602     -1.26271     8.38962     0     3     0
-6.91588     9.87639     1.65435     -1.72216     132.555     1.71988     8.43679     82.387     1.66263     91.2644     0.0026469     -2115.26     -3.7114     -1.49175     8.43679     0     3     0
-6.43242     12.1991     1.66433     -1.75994     132.782     1.71712     8.66674     73.5705     1.69018     101.264     0.00101737     -2119.38     -3.72391     -1.5551     8.66674     0     3     0
-6.35832     11.9098     1.64533     -1.81252     132.555     1.71737     8.49154     91.3977     1.64491     93.4117     0.00296396     -2113.29     -3.54796     -1.6006     8.49154     0     3     0
-5.41081     12.8978     1.67658     -1.73043     132.728     1.71517     8.37056     83.1826     1.68037     88.9343     0.00270405     -2123.52     -2.94109     -1.69485     8.37056     0     3     0
-5.25634     12.2955     1.66356     -1.85114     131.234     1.7167     8.40644     106.699     1.63803     92.8688     0.00167745     -2115.13     -3.76502     -1.43041     8.40644     0     3     0
-6.2568     10.2844     1.68309     -1.93443     131.623     1.71449     8.28431     75.0123     1.66775     112.261     0.00167745     -2123.02     -3.66904     -1.6233     8.28431     0     3     0
-5.23156     11.5572     1.67727     -1.86853     131.262     1.71449     8.18083     99.3033     1.66775     94.8321     0.00387594     -2113.68     -3.78815     -1.57749     8.18083     0     3     0
-6.86287     16.3306     1.68838     -1.86904     130.579     1.7148     7.80827     52.9474     1.67401     112.57     0.00155408     -2114.61     -4.02919     -1.28535     7.80827     0     3     0
-6.70174     13.2293     1.69986     -1.85411     130.607     1.71459     7.70608     88.6182     1.67709     101.159     0.00115251     -2118.4     -4.02919     -1.4043     7.70608     0     3     0
-4.8653     13.4975     1.65494     -1.84531     130.778     1.71518     7.89018     91.4863     1.66253     101.847     0.00115251     -2113.73     -3.13256     -1.64312     7.89018     0     3     0
-7.33952     14.8101     1.65485     -1.89512     130.917     1.72072     8.47828     65.6862     1.6696     111.184     0.000490298     -2117.33     -3.56677     -1.51898     8.47828     0     3     0
-6.32448     9.3866     1.66163     -1.81072     130.953     1.7184     8.42253     47.0846     1.67335     111.77     0.00250538     -2128.06     -3.16405     -1.96275     8.42253     0     3     0
-5.90184     10.5866     1.66871     -1.85154     130.552     1.71938     8.29751     105.892     1.69844     101.267     0.00217966     -2118.77     -3.08551     -1.66082     8.29751     0     3     0
-7.44731     16.4898     1.69676     -1.79636     130.031     1.7159     8.09001     82.7379     1.66112     95.5283     0.00426023     -2117.09     -3.86152     -1.43005     8.09001     0     3     0
-5.35916     14.1245     1.6357     -1.90412     129.202     1.72089     7.85497     99.9901     1.68724     95.5283     0.00700562     -2127     -3.06789     -1.68802     7.85497     0     3     0
-8.05495     14.1818     1.67235     -1.83129     129.206     1.71802     7.58586     71.2137     1.68351     95.9841     0.00119878     -2121     -3.97984     -1.45784     7.58586     0     3     0
-7.55788     15.2185     1.65261     -1.89945     129.486     1.72044     8.02418     68.9706     1.63897     87.9028     0.00333718     -2120.32     -3.29692     -1.51748     8.02418     0     3     0
-6.26477     16.0146     1.66142     -1.83595     130.309     1.71692     8.26564     81.9395     1.63897     118.267     0.00197526     -2118.95     -4.55727     -1.21147     8.26564     0     3     0
-7.88457     15.547     1.65269     -1.83595     130.85     1.71623     8.04262     70.4539     1.69553     99.7184     0.00197526     -2121.36     -3.24477     -1.78408     8.04262     0     3     0
-6.29245     15.8048     1.64439     -1.79513     131.717     1.71643     8.03259     71.8208     1.65841     101.149     0.00197526     -2116.57     -3.74692     -1.40566     8.03259     0     3     0
-6.29245     16.378     1.63607     -1.90977     131.946     1.71626     7.48808     52.8927     1.66397     91.8928     0.0049886     -2121.02     -3.4132     -1.52575     7.48808     0     3     0
-6.43382     17.3705     1.66609     -1.84415     131.759     1.71694     8.20431     65.1345     1.6628     102.233     0.00330455     -2113.04     -3.40877     -1.49109     8.20431     0     3     0
-5.09902     15.2545     1.64572     -1.83919     132.197     1.71657     8.45004     72.9025     1.65773     91.8928     0.00261191     -2119.05     -3.91238     -1.38151     8.45004     0     3     0
-8.86682     15.0551     1.67903     -1.89317     130.464     1.72124     7.52465     42.5835     1.67873     98.5088     0.000397722     -2120.59     -3.07328     -1.63905     7.52465     0     3     0
-4.64192     15.9147     1.66381     -1.73846     130.429     1.72219     7.81701     57.5347     1.66498     89.6691     0.00753398     -2116.41     -4.17767     -1.19801     7.81701     0     3     0
-6.20808     15.869     1.67074     -1.96546     131.045     1.71894     7.64356     50.642     1.68601     92.4246     0.0050856     -2118.72     -3.96449     -1.21575     7.64356     0     3     0
-8.2272     14.7718     1.68231     -1.76378     131.191     1.7191     8.24003     52.5021     1.66726     92.7534     0.00355797     -2116.59     -3.87997     -1.3646     8.24003     0     3     0
-7.59877     13.6715     1.6621     -1.70641     131.985     1.7188     8.14091     72.2345     1.6881     88.5559     0.00422866     -2115.82     -4.2226     -1.30359     8.14091     0     3     0
