"b1_2"     "a1"     "c1"     "b2_2"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-6.02975     16.6749     1.6798     -2.23343     100     1.78911     8.03189     130.568     1.66776     151.915     0.00123724     -2204.89     -4.65242     -1.96975     8.03189     0     3     0
-6.0566     15.7577     1.61912     -2.17134     101.281     1.79159     8.03189     103.428     1.66717     131.05     0.00112873     -2199.97     -4.43354     -2.08612     8.03189     0     3     0
-6.88946     14.6493     1.6647     -2.20027     101.882     1.78964     8.17719     97.955     1.66297     129.646     0.00265178     -2206.62     -4.94716     -1.89677     8.17719     0     3     0
-8.33533     16.1489     1.66935     -2.20027     101.196     1.78883     7.63075     77.9125     1.6314     137.571     0.00306511     -2200.89     -4.74131     -1.92118     7.63075     0     3     0
-7.97367     17.3187     1.64588     -2.19018     101.41     1.78881     8.21195     60.279     1.65849     130.133     0.000630784     -2207.54     -5.18905     -1.74244     8.21195     0     3     0
-7.10511     15.0433     1.64262     -2.19018     102.129     1.78881     8.2311     92.3538     1.64727     130.363     0.000630784     -2202.38     -4.8064     -1.99985     8.2311     0     3     0
-5.91176     17.1854     1.67289     -2.16611     102.112     1.78747     7.67128     100.798     1.65732     132.859     0.00253312     -2199.28     -4.50087     -2.07352     7.67128     0     3     0
-5.9433     19.4843     1.67289     -2.1505     101.654     1.79058     8.19212     161.504     1.63269     143.041     0.000909677     -2200.81     -4.54079     -1.98537     8.19212     0     3     0
-4.95517     19.4843     1.65855     -2.11739     101.638     1.79341     8.2681     111.227     1.644     135.627     0.00199541     -2199.36     -4.38132     -1.97125     8.2681     0     3     0
-6.44722     18.4013     1.67728     -2.10702     103.019     1.78885     8.4029     106.886     1.68773     143.875     0.00384137     -2203.52     -4.59747     -1.87438     8.4029     0     3     0
-7.44621     15.9765     1.67728     -2.18263     103.572     1.78038     7.70142     96.101     1.66945     145.171     0.0031948     -2201.81     -4.76191     -1.95383     7.70142     0     3     0
-4.36623     17.345     1.63154     -2.1816     102.286     1.78948     8.42839     114.557     1.64407     130.5     0.0031948     -2206.06     -4.76334     -1.8763     8.42839     0     3     0
-8.14336     15.067     1.65623     -2.15484     102.457     1.78552     7.94149     76.2567     1.66237     135.593     0.00427084     -2203.26     -4.71113     -1.98179     7.94149     0     3     0
-6.89289     17.4598     1.67162     -2.147     102.521     1.78318     7.55396     89.5105     1.64886     143.476     0.00331397     -2203.52     -4.75831     -1.84278     7.55396     0     3     0
-6.99585     19.6423     1.68751     -2.13185     103.433     1.77995     8.08843     115.919     1.66729     149.776     0.00167179     -2201.53     -4.80486     -1.7337     8.08843     0     3     0
-6.27362     21.9377     1.65177     -2.21593     102.085     1.78036     7.8398     150.512     1.67508     149.423     0.000292801     -2199.26     -4.59092     -1.85429     7.8398     0     3     0
-5.57907     23.909     1.64985     -2.24387     101.579     1.78046     8.34654     175.301     1.66701     179.664     0.0015151     -2210.28     -4.59092     -1.99477     8.34654     0     3     0
-6.37033     22.9301     1.66956     -2.23263     100.142     1.78937     7.87657     137.798     1.68585     157.672     0.0015151     -2203.98     -4.43041     -1.79881     7.87657     0     3     0
-7.44413     19.6498     1.67125     -2.21446     99.8993     1.79158     8.31269     165.28     1.66952     141.116     0.00169526     -2205.53     -4.46962     -2.10761     8.31269     0     3     0
-5.60047     20.1214     1.652     -2.1608     101.638     1.79158     8.04033     114.023     1.63064     143.91     0.00205445     -2203.21     -4.4368     -2.06543     8.04033     0     3     0
-6.55434     21.6436     1.652     -2.08046     101.46     1.79151     8.15265     114.724     1.65705     135.623     0.00380526     -2212.71     -4.76981     -1.69341     8.15265     0     3     0
-4.66685     21.8977     1.652     -2.10652     101.616     1.79151     8.15265     99.8934     1.70901     132.385     0.000879745     -2204.8     -4.68693     -1.73644     8.15265     0     3     0
-7.01123     17.4052     1.65541     -2.15911     100.614     1.79151     8.35025     134.547     1.66384     134.884     0.000879745     -2203.31     -4.37629     -2.02498     8.35025     0     3     0
-6.47516     15.9685     1.65768     -2.14817     101.783     1.79214     8.26179     100.99     1.63322     138.463     0.000955903     -2202.03     -4.84611     -1.87993     8.26179     0     3     0
-7.30465     16.5484     1.66173     -2.11599     103.198     1.78689     8.13533     86.5067     1.67793     138.644     0.00261291     -2201.29     -4.76861     -1.89047     8.13533     0     3     0
-7.70627     17.2824     1.66107     -2.10359     103.261     1.78773     8.02681     98.9682     1.67515     157.467     0.00294961     -2204.96     -4.49217     -1.98474     8.02681     0     3     0
-5.6016     17.2723     1.6585     -2.15482     103.752     1.78799     7.95033     67.0396     1.68167     145.586     0.000442182     -2206.64     -4.5172     -1.97847     7.95033     0     3     0
-4.35685     16.8828     1.6585     -2.08711     102.762     1.79124     7.80969     91.0657     1.6579     133.237     0.000442182     -2203.27     -4.26468     -2.11234     7.80969     0     3     0
-7.36894     16.7069     1.68118     -2.10393     103.182     1.78942     7.54119     66.4854     1.6565     137.136     0.00214676     -2207.08     -4.44062     -2.05298     7.54119     0     3     0
-5.97976     22.5659     1.66473     -2.09901     103.047     1.78684     8.20916     94.0711     1.67533     144.669     0.00268342     -2204.7     -4.68061     -1.71699     8.20916     0     3     0
-6.38905     22.7976     1.68607     -2.10281     103.579     1.78435     7.93787     94.0711     1.6732     133.591     0.000737965     -2200.02     -4.94401     -1.45858     7.93787     0     3     0
-5.83089     21.2018     1.64771     -2.10281     104.935     1.78485     8.06162     75.0018     1.67005     137.677     0.00153861     -2201.7     -4.41904     -1.89054     8.06162     0     3     0
-6.16464     24.0009     1.67162     -2.02884     104.996     1.78501     8.03882     82.5515     1.65685     139.687     0.00225467     -2205.79     -4.48691     -1.71519     8.03882     0     3     0
-4.58025     27.6735     1.64784     -2.02884     104.461     1.78661     8.24944     98.0806     1.6588     140.485     0.000868347     -2204.53     -4.58196     -1.50109     8.24944     0     3     0
-5.36179     27.6358     1.61872     -2.05226     105.186     1.78685     8.33833     77.2552     1.65626     135.729     0.00657519     -2203.69     -4.61651     -1.54811     8.33833     0     3     0
-6.91726     19.5844     1.66945     -2.09061     104.245     1.78685     8.10535     85.1963     1.68825     151.045     0.00302998     -2203.08     -4.64623     -1.89505     8.10535     0     3     0
-4.52083     19.0528     1.62258     -2.05688     104.152     1.78852     8.20326     62.1789     1.6681     135.9     0.00162502     -2204.05     -4.54618     -2.02484     8.20326     0     3     0
-3.84213     22.4803     1.66573     -2.0903     105.188     1.78377     7.86827     85.3569     1.66546     147.88     0.00162502     -2200.8     -4.66368     -1.67194     7.86827     0     3     0
-6.06662     22.6926     1.63356     -2.0903     106.241     1.77162     8.25617     144.816     1.66546     141.162     0.00162502     -2202.76     -4.56083     -1.77979     8.25617     0     3     0
-6.67476     19.6564     1.69755     -2.13876     106.06     1.77162     8.16251     166.693     1.61965     139.967     0.00420106     -2209.27     -4.83229     -1.85701     8.16251     0     3     0
-5.81577     25.1586     1.65071     -2.05808     105.557     1.77824     7.91133     105.661     1.65093     145.977     0.0019656     -2204.81     -4.48567     -1.86808     7.91133     0     3     0
