"b1_9"     "a1"     "c1"     "b2_9"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_9"     "k2_9"     "ktype1_9"     "ktype2_9"
-2.53645     114.86     1.67288     0.958661     169.58     1.65452     1.24818     0.00227433     -1364.82     -2.19146     1.30463     0     0
-2.52993     114.86     1.68089     1.08745     187.781     1.65433     3.28094     0.00135175     -1361.75     -2.22292     1.25541     0     0
-2.52294     114.536     1.69948     1.0872     153.036     1.65119     6.15653     0.000436665     -1369.43     -2.20673     1.46353     0     0
-2.52676     114.771     1.70434     1.14172     159.113     1.65119     4.16271     0.00037055     -1369.08     -2.27845     1.35227     0     0
-2.52059     114.482     1.70434     1.17936     162.29     1.70022     1.63896     0.00194133     -1370.38     -2.27845     1.54426     0     0
-2.49032     115.144     1.7151     1.24025     146.774     1.70022     2.37007     0.00225335     -1372.23     -2.24631     1.50179     0     0
-2.47712     115.348     1.70494     0.96911     149.288     1.68473     1.16721     0.00225335     -1367.07     -2.18738     1.37358     0     0
-2.48388     116.29     1.68756     0.939658     153.417     1.68473     2.9901     0.00547038     -1368.02     -2.05086     1.16833     0     0
-2.46579     118.308     1.68843     1.0157     155.581     1.67963     7.69583     0.00127736     -1364.42     -2.20095     1.25176     0     0
-2.4508     118.308     1.69247     0.94494     169.1     1.67499     14.3252     0.00141794     -1369.32     -2.1315     1.26843     0     0
-2.47599     118.554     1.68937     0.925581     156.344     1.63953     2.59268     0.000571159     -1370.98     -2.20204     1.17169     0     0
-2.46138     118.053     1.68884     0.976006     157.196     1.7103     2.59268     0.0039139     -1369.57     -2.12405     1.28657     0     0
-2.46138     118.38     1.6873     0.996663     161.361     1.7016     1.00456     0.0100854     -1370.2     -2.01245     1.16757     0     0
-2.4932     118.053     1.69476     1.1102     173.282     1.62627     1.00456     0.00544629     -1366.1     -2.24951     1.73327     0     0
-2.44845     116.736     1.70339     1.05984     173.899     1.61834     7.06446     0.00429676     -1369     -2.14213     1.30439     0     0
-2.46854     117.852     1.70035     1.23402     185.642     1.62995     4.19917     0.00134241     -1366.87     -2.08636     1.28464     0     0
-2.46854     117.852     1.69655     1.16226     183.274     1.62241     1.50188     0.00338196     -1367.07     -2.11877     1.41575     0     0
-2.4571     118.353     1.69655     1.06776     172.163     1.60385     1.8468     0.00770228     -1369.36     -2.11877     1.35383     0     0
-2.4822     117.04     1.69322     1.13952     175.731     1.65658     5.92672     0.00127919     -1370.43     -2.07033     1.22589     0     0
-2.4814     117.021     1.69326     1.13478     192.965     1.65658     6.26134     0.0046982     -1373.92     -2.05474     1.22687     0     0
-2.49885     117.254     1.69276     1.13478     183.393     1.62495     2.53645     0.00771019     -1366.08     -2.05474     1.19128     0     0
-2.49839     117.433     1.68445     1.15854     184.639     1.62495     0.85743     0.00593011     -1367.88     -2.05933     1.18427     0     0
-2.56644     118.561     1.67329     1.21803     186.615     1.68562     0.85743     0.00489454     -1369.16     -2.19971     1.3828     0     0
-2.56813     118.752     1.66788     1.12771     174.953     1.64772     2.11996     0.00016869     -1377.15     -2.02675     1.29137     0     0
-2.48398     120.049     1.66637     0.962205     179.172     1.66466     3.20929     0.00547814     -1372.18     -2.10462     1.04159     0     0
-2.52462     120.102     1.65586     1.07727     182.901     1.64118     3.17074     0.00236629     -1365.98     -2.06171     1.07363     0     0
-2.52203     121.362     1.65784     1.2367     182.12     1.67857     1.82065     0.00606029     -1372.96     -2.18372     1.48545     0     0
-2.51564     121.597     1.64902     1.06603     183.452     1.64287     0.739352     0.00705901     -1365.16     -2.28431     1.19703     0     0
-2.52109     120.453     1.65755     0.969716     176.752     1.65358     1.3408     0.00214333     -1365.84     -2.10422     1.19076     0     0
-2.54938     118.691     1.65988     0.969716     176.752     1.64358     8.6573     0.00170534     -1363.17     -2.31959     1.33057     0     0
-2.51853     121.911     1.64659     1.01581     167.37     1.70628     4.25843     0.00467066     -1370.93     -2.05492     1.11636     0     0
-2.48233     122.234     1.64381     0.795359     168.738     1.69297     0.616379     0.00183009     -1370.65     -2.05492     1.14875     0     0
-2.48106     123.296     1.64083     0.896341     171.627     1.69297     0.914908     0.0100434     -1372.34     -2.20368     1.18735     0     0
-2.55019     122.607     1.63972     1.15631     188.71     1.63667     0.253554     0.000152264     -1370.22     -2.20368     1.32725     0     0
-2.52329     122.607     1.64473     0.992477     177.945     1.6426     1.69638     0.00128466     -1362.26     -2.27539     1.25744     0     0
-2.4919     122.279     1.64447     1.03793     181.088     1.6581     1.50598     0.00225755     -1370.6     -2.33665     1.24095     0     0
-2.50656     122.279     1.65415     1.11344     189.74     1.62656     2.6143     0.00383162     -1363.87     -2.32017     1.51008     0     0
