Q	iVar	cType	cWidth
7329.36	1	0	0
5059.78	1	0	0
5267.11	1	0	0
6449.47	1	0	0
6951.43	1	0	0
7345.61	1	0	0
4264.64	1	0	0
6931.23	1	0	0
7042.47	1	0	0
9631.06	1	0	0
5842.89	1	0	0
9867.31	1	0	0
6574.49	1	0	0
6953.97	1	0	0
6482.68	1	0	0
4609.08	1	0	0
3619.73	1	0	0
5178.93	1	0	0
8323.61	1	0	0
4898.95	1	0	0
8320.28	1	0	0
4079.81	1	0	0
5198.39	1	0	0
7344.75	1	0	0
15156.8	1	0	0
9609.77	1	0	0
7646.85	1	0	0
9409.8	1	0	0
7085.53	1	0	0
6425.85	1	0	0
8676.17	1	0	0
7098.9	1	0	0
7724.62	1	0	0
5701.79	1	0	0
4159.35	1	0	0
5655.8	1	0	0
6362.84	1	0	0
7318.25	1	0	0
5160.06	1	0	0
7416.11	1	0	0
13983.8	1	0	0
5030.31	1	0	0
4241.21	1	0	0
5261.18	1	0	0
4508.45	1	0	0
3711.3	1	0	0
4533.72	1	0	0
5935.42	1	0	0
6818.21	1	0	0
5209.39	1	0	0
4983.87	1	0	0
4630.51	1	0	0
5559.5	1	0	0
3222.53	1	0	0
4834.8	1	0	0
3110.94	1	0	0
7871.05	1	0	0
6056.2	1	0	0
3229.39	1	0	0
4032.98	1	0	0
4328.51	1	0	0
5554.11	1	0	0
5215.73	1	0	0
5547.06	1	0	0
3630.39	1	0	0
2798.08	1	0	0
7407.37	1	0	0
5363	1	0	0
2849.79	1	0	0
5016.91	1	0	0
9241.68	1	0	0
5179.87	1	0	0
8490.98	1	0	0
9132.63	1	0	0
7558.24	1	0	0
8352.89	1	0	0
6117.68	1	0	0
4856.46	1	0	0
4986.9	1	0	0
5478.43	1	0	0
9303.31	1	0	0
5946.47	1	0	0
6251.89	1	0	0
6103.61	1	0	0
9958.86	1	0	0
6878.22	1	0	0
7208.09	1	0	0
6745.59	1	0	0
5964.57	1	0	0
5000.27	1	0	0
6592.01	1	0	0
9335.14	1	0	0
4391.26	1	0	0
4849.88	1	0	0
9668.72	1	0	0
4527.45	1	0	0
4806.61	1	0	0
6759.19	1	0	0
7741.08	1	0	0
5286.64	1	0	0
5836.8	1	0	0
8210.85	1	0	0
6248.56	1	0	0
8446.71	1	0	0
4792.72	1	0	0
2131.42	1	0	0
5602.98	1	0	0
7497.07	1	0	0
8157.3	1	0	0
6672.52	1	0	0
7603.74	1	0	0
5745.6	1	0	0
7462.72	1	0	0
3297.37	1	0	0
6514.93	1	0	0
6576.66	1	0	0
6368.23	1	0	0
7546.71	1	0	0
5073.16	1	0	0
10184.8	1	0	0
8056.85	1	0	0
6525.92	1	0	0
4553.13	1	0	0
5226.26	1	0	0
6143.24	1	0	0
6380.71	1	0	0
5427.22	1	0	0
5940.09	1	0	0
7287.61	1	0	0
5091.54	1	0	0
4564.69	1	0	0
5914.49	1	0	0
7404.18	1	0	0
5220.69	1	0	0
5758.88	1	0	0
9642.14	1	0	0
4754.88	1	0	0
5199.31	1	0	0
7459.92	1	0	0
7667	1	0	0
5759.45	1	0	0
6095.06	1	0	0
8295.65	1	0	0
6577.33	1	0	0
8965.49	1	0	0
4539	1	0	0
4489.25	1	0	0
7978.69	1	0	0
6201.46	1	0	0
5181.41	1	0	0
5366.07	1	0	0
4068.66	1	0	0
4757.33	1	0	0
4886.8	1	0	0
5176.53	1	0	0
5429.15	1	0	0
5976.46	1	0	0
5322.75	1	0	0
3920.88	1	0	0
3533.92	1	0	0
8430.66	1	0	0
7499.44	1	0	0
7564.39	1	0	0
6613.63	1	0	0
4705.66	1	0	0
6026.65	1	0	0
7769.31	1	0	0
6716.8	1	0	0
5503.32	1	0	0
4472.58	1	0	0
6735.92	1	0	0
6334.01	1	0	0
6779.12	1	0	0
5162.99	1	0	0
5313.45	1	0	0
5109.14	1	0	0
5644.42	1	0	0
8934.38	1	0	0
9957.19	1	0	0
6808.11	1	0	0
8356.92	1	0	0
7708.76	1	0	0
4324.81	1	0	0
6155.75	1	0	0
6976.35	1	0	0
6850.27	1	0	0
9868.38	1	0	0
11414.4	1	0	0
5787.83	1	0	0
4056.08	1	0	0
5522.26	1	0	0
4250.93	1	0	0
6892.95	1	0	0
6794.3	1	0	0
6213.67	1	0	0
7298.86	1	0	0
5336.07	1	0	0
7330	1	0	0
7625.39	1	0	0
4606.28	1	0	0
8612.07	1	0	0
4332.04	1	0	0
6108.59	1	0	0
7219.36	1	0	0
4328.19	1	0	0
