Q	iVar	cType	cWidth
5429.15	1	0	0
5976.46	1	0	0
5322.75	1	0	0
3920.88	1	0	0
3533.92	1	0	0
8430.66	1	0	0
7499.44	1	0	0
7564.39	1	0	0
6613.63	1	0	0
4705.66	1	0	0
6026.65	1	0	0
7769.31	1	0	0
6716.8	1	0	0
5503.32	1	0	0
4472.58	1	0	0
6735.92	1	0	0
6334.01	1	0	0
6779.12	1	0	0
5162.99	1	0	0
5313.45	1	0	0
5109.14	1	0	0
5644.42	1	0	0
8934.38	1	0	0
9957.19	1	0	0
6808.11	1	0	0
8356.92	1	0	0
7708.76	1	0	0
4324.81	1	0	0
6155.75	1	0	0
6976.35	1	0	0
6850.27	1	0	0
9868.38	1	0	0
11414.4	1	0	0
5787.83	1	0	0
4056.08	1	0	0
5522.26	1	0	0
4250.93	1	0	0
6892.95	1	0	0
6794.3	1	0	0
6213.67	1	0	0
7298.86	1	0	0
5336.07	1	0	0
7330	1	0	0
7625.39	1	0	0
4606.28	1	0	0
8612.07	1	0	0
4332.04	1	0	0
6108.59	1	0	0
7219.36	1	0	0
4328.19	1	0	0
