Q	iVar	cType	cWidth
5477.34	1	0	0
5922.16	1	0	0
5078.41	1	0	0
3852.46	1	0	0
3330.45	1	0	0
8365.99	1	0	0
7615.02	1	0	0
7370.94	1	0	0
6575.85	1	0	0
4580.86	1	0	0
6047.34	1	0	0
7556.13	1	0	0
6596.55	1	0	0
5479.67	1	0	0
4575.73	1	0	0
6667.69	1	0	0
6388.9	1	0	0
6685.07	1	0	0
5275.42	1	0	0
5297.61	1	0	0
5079.29	1	0	0
5664.72	1	0	0
9108.15	1	0	0
9981.91	1	0	0
6730.87	1	0	0
8570.5	1	0	0
7788.71	1	0	0
4396.23	1	0	0
6157.84	1	0	0
7076.75	1	0	0
6789.41	1	0	0
9812.09	1	0	0
11533.69	1	0	0
5671.45	1	0	0
4208.54	1	0	0
5457.11	1	0	0
3968.07	1	0	0
6943.39	1	0	0
6588.39	1	0	0
6194.87	1	0	0
7216.84	1	0	0
5247.76	1	0	0
7138.7	1	0	0
7510.52	1	0	0
4422.88	1	0	0
8674.47	1	0	0
4598.05	1	0	0
6130.72	1	0	0
7216.6	1	0	0
4359.45	1	0	0
