"b1_6"     "a1"     "c1"     "b2_6"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_6"     "k2_6"     "ktype1_6"     "ktype2_6"
-2.58582     114.86     1.67288     0.82599     169.58     1.65452     1.24818     0.00227433     -1364.82     -2.58386     0.872021     0     0
-2.70237     114.86     1.68089     1.08355     187.781     1.65433     3.28094     0.00135175     -1361.75     -2.57647     1.10189     0     0
-2.49485     114.536     1.69948     1.10699     153.036     1.65119     6.15653     0.000436665     -1369.43     -2.61531     1.17697     0     0
-2.39257     114.771     1.70434     1.16226     159.113     1.65119     4.16271     0.00037055     -1369.08     -2.77953     1.13669     0     0
-2.63669     114.482     1.70434     0.876394     162.29     1.70022     1.63896     0.00194133     -1370.38     -2.45649     1.0112     0     0
-2.60109     115.144     1.7151     1.05835     146.774     1.70022     2.37007     0.00225335     -1372.23     -2.68958     1.14752     0     0
-2.41931     115.348     1.70494     0.719238     149.288     1.68473     1.16721     0.00225335     -1367.07     -2.47747     0.898527     0     0
-2.53732     116.29     1.68756     0.844656     153.417     1.68473     2.9901     0.00547038     -1368.02     -2.63365     0.727375     0     0
-2.46802     118.308     1.68843     1.0921     155.581     1.67963     7.69583     0.00127736     -1364.42     -2.5512     0.955101     0     0
-2.55209     118.308     1.69247     0.858324     169.1     1.67499     14.3252     0.00141794     -1369.32     -2.59452     0.92474     0     0
-2.60682     118.554     1.68937     0.87516     156.344     1.63953     2.59268     0.000571159     -1370.98     -2.48449     1.2498     0     0
-2.84572     118.053     1.68884     0.959444     157.196     1.7103     2.59268     0.0039139     -1369.57     -2.56966     0.790711     0     0
-2.76526     118.38     1.6873     0.78865     161.361     1.7016     1.00456     0.0100854     -1370.2     -2.57991     1.05399     0     0
-2.45903     118.053     1.69476     0.908578     173.282     1.62627     1.00456     0.00544629     -1366.1     -2.47488     0.991041     0     0
-2.62363     116.736     1.70339     0.689447     173.899     1.61834     7.06446     0.00429676     -1369     -2.35891     0.993015     0     0
