"tMAP"	"treal"	"t2"	"t10"	"t90"	"t97"
15986.2	14627	11116.4575	11920.5	20322.8	21068.08
25928.1	25734	22250.3175	22620.7	27543.5	27942.2125
34522	34540	33216.8675	34574.1	37519.3	38434.3825
38388.2	43646	34563.305	34964.8	50426.2	50712.135
50488.5	49499	45011.6825	49429.2	50806.8	50914.4825
50357.4	50656	50353.045	50379.1	50813.6	50904.43
53637.5	53867	53284.3775	53518.9	54018.4	54087.11
55047.9	55047.9	42812.2325	47011	55085	55094.9275
