"b1_5"     "a1"     "c1"     "b2_5"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_5"     "k2_5"     "ktype1_5"     "ktype2_5"
-2.70011     121.884     1.64417     1.06592     181.372     1.68949     0.972698     0.00180888     -1374.16     -2.18132     1.1858     0     0
-2.76639     121.347     1.63805     0.752028     180.381     1.66192     1.57864     0.00167948     -1371.07     -2.84085     1.00739     0     0
-2.72291     122.094     1.63805     0.694232     158.127     1.68033     1.87617     0.00893474     -1368.82     -2.50321     1.19768     0     0
-2.6761     125.621     1.63986     0.592136     158.127     1.65866     0.857761     0.00221918     -1365.39     -2.53333     0.891939     0     0
-2.57836     126.267     1.63986     0.522586     158.127     1.68451     0.857761     0.0105847     -1371.02     -2.53333     1.06735     0     0
-2.51953     126.904     1.64318     0.553532     160.342     1.66796     3.3102     0.00648715     -1370.75     -2.51105     1.07539     0     0
-2.53247     126.591     1.6557     0.673401     171.915     1.69012     0.3615     0.00564131     -1368.17     -2.48438     0.823726     0     0
-2.57519     125.929     1.65578     0.575171     168.457     1.67125     2.9025     0.008354     -1364.76     -2.47398     0.698601     0     0
-2.54818     124.964     1.65578     0.709961     171.246     1.67125     4.8923     0.000160498     -1361.21     -2.54765     0.829976     0     0
-2.64821     125.071     1.65957     0.860828     159.676     1.67271     0.0245604     0.0148692     -1367.5     -2.55983     0.85769     0     0
-2.49549     124.772     1.6611     0.969443     159.258     1.66932     3.56971     0.00554243     -1368.8     -2.59423     1.2452     0     0
-2.55038     123.771     1.66456     0.485304     160.07     1.66095     5.78969     0.00248068     -1365.04     -2.55882     0.88459     0     0
-2.52587     123.13     1.6664     0.598266     167.208     1.65675     1.06931     0.00421831     -1368.27     -2.4968     0.69304     0     0
-2.61257     122.82     1.66738     0.454339     159.441     1.64564     4.39327     0.0050941     -1371.16     -2.34491     0.519137     0     0
-2.60685     122.82     1.64713     0.723669     175.231     1.65541     1.70641     0.00351376     -1368.26     -2.74606     0.701895     0     0
-2.64357     123.484     1.64555     0.709362     163.025     1.6693     4.66292     4.92881e-05     -1369.63     -2.79575     0.819779     0     0
-2.56622     124.507     1.64117     1.01692     166.539     1.67858     10.3376     4.92881e-05     -1368.33     -2.60492     0.954144     0     0
