"b1_8"     "a1"     "c1"     "b2_8"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_8"     "k2_8"     "ktype1_8"     "ktype2_8"
-2.42953     114.86     1.67288     0.937803     169.58     1.65452     1.24818     0.00227433     -1364.82     -2.53645     0.958661     0     0
-2.42777     114.86     1.68089     1.07234     187.781     1.65433     3.28094     0.00135175     -1361.75     -2.52993     1.08745     0     0
-2.41298     114.536     1.69948     1.03523     153.036     1.65119     6.15653     0.000436665     -1369.43     -2.52294     1.0872     0     0
-2.40711     114.771     1.70434     1.00765     159.113     1.65119     4.16271     0.00037055     -1369.08     -2.52676     1.14172     0     0
-2.3794     114.482     1.70434     1.00361     162.29     1.70022     1.63896     0.00194133     -1370.38     -2.52059     1.17936     0     0
-2.38692     115.144     1.7151     1.02567     146.774     1.70022     2.37007     0.00225335     -1372.23     -2.49032     1.24025     0     0
-2.37584     115.348     1.70494     0.969879     149.288     1.68473     1.16721     0.00225335     -1367.07     -2.47712     0.96911     0     0
-2.37618     116.29     1.68756     0.879494     153.417     1.68473     2.9901     0.00547038     -1368.02     -2.48388     0.939658     0     0
-2.37618     118.308     1.68843     0.983924     155.581     1.67963     7.69583     0.00127736     -1364.42     -2.46579     1.0157     0     0
-2.35673     118.308     1.69247     1.10396     169.1     1.67499     14.3252     0.00141794     -1369.32     -2.4508     0.94494     0     0
-2.3602     118.554     1.68937     1.01888     156.344     1.63953     2.59268     0.000571159     -1370.98     -2.47599     0.925581     0     0
-2.3602     118.053     1.68884     1.03847     157.196     1.7103     2.59268     0.0039139     -1369.57     -2.46138     0.976006     0     0
-2.34723     118.38     1.6873     1.02748     161.361     1.7016     1.00456     0.0100854     -1370.2     -2.46138     0.996663     0     0
-2.36177     118.053     1.69476     1.11232     173.282     1.62627     1.00456     0.00544629     -1366.1     -2.4932     1.1102     0     0
-2.37245     116.736     1.70339     1.13501     173.899     1.61834     7.06446     0.00429676     -1369     -2.44845     1.05984     0     0
-2.37383     117.852     1.70035     1.26424     185.642     1.62995     4.19917     0.00134241     -1366.87     -2.46854     1.23402     0     0
-2.3596     117.852     1.69655     1.19301     183.274     1.62241     1.50188     0.00338196     -1367.07     -2.46854     1.16226     0     0
-2.36432     118.353     1.69655     1.18873     172.163     1.60385     1.8468     0.00770228     -1369.36     -2.4571     1.06776     0     0
-2.36432     117.04     1.69322     1.16499     175.731     1.65658     5.92672     0.00127919     -1370.43     -2.4822     1.13952     0     0
-2.36432     117.021     1.69326     1.19201     192.965     1.65658     6.26134     0.0046982     -1373.92     -2.4814     1.13478     0     0
-2.37232     117.254     1.69276     1.14428     183.393     1.62495     2.53645     0.00771019     -1366.08     -2.49885     1.13478     0     0
-2.37947     117.433     1.68445     1.1143     184.639     1.62495     0.85743     0.00593011     -1367.88     -2.49839     1.15854     0     0
-2.39957     118.561     1.67329     1.16633     186.615     1.68562     0.85743     0.00489454     -1369.16     -2.56644     1.21803     0     0
-2.40055     118.752     1.66788     1.12512     174.953     1.64772     2.11996     0.00016869     -1377.15     -2.56813     1.12771     0     0
-2.40055     120.049     1.66637     1.08895     179.172     1.66466     3.20929     0.00547814     -1372.18     -2.48398     0.962205     0     0
-2.38451     120.102     1.65586     1.05324     182.901     1.64118     3.17074     0.00236629     -1365.98     -2.52462     1.07727     0     0
-2.40087     121.362     1.65784     1.07238     182.12     1.67857     1.82065     0.00606029     -1372.96     -2.52203     1.2367     0     0
-2.37171     121.597     1.64902     0.968791     183.452     1.64287     0.739352     0.00705901     -1365.16     -2.51564     1.06603     0     0
-2.4059     120.453     1.65755     0.968791     176.752     1.65358     1.3408     0.00214333     -1365.84     -2.52109     0.969716     0     0
-2.39778     118.691     1.65988     1.01369     176.752     1.64358     8.6573     0.00170534     -1363.17     -2.54938     0.969716     0     0
-2.40871     121.911     1.64659     1.02461     167.37     1.70628     4.25843     0.00467066     -1370.93     -2.51853     1.01581     0     0
-2.41778     122.234     1.64381     1.00508     168.738     1.69297     0.616379     0.00183009     -1370.65     -2.48233     0.795359     0     0
-2.3834     123.296     1.64083     0.985908     171.627     1.69297     0.914908     0.0100434     -1372.34     -2.48106     0.896341     0     0
-2.37945     122.607     1.63972     0.985908     188.71     1.63667     0.253554     0.000152264     -1370.22     -2.55019     1.15631     0     0
-2.3942     122.607     1.64473     0.993184     177.945     1.6426     1.69638     0.00128466     -1362.26     -2.52329     0.992477     0     0
-2.35761     122.279     1.64447     1.02801     181.088     1.6581     1.50598     0.00225755     -1370.6     -2.4919     1.03793     0     0
-2.36267     122.279     1.65415     1.04705     189.74     1.62656     2.6143     0.00383162     -1363.87     -2.50656     1.11344     0     0
-2.38449     120.32     1.6597     1.03581     188.844     1.63633     2.63628     0.00256804     -1364.13     -2.52211     1.09804     0     0
-2.38449     122.249     1.64978     0.967377     179.5     1.69588     0.301147     0.00342349     -1366.97     -2.49898     1.01994     0     0
-2.34152     121.392     1.6608     1.03844     188.71     1.65076     1.56853     0.00245542     -1366.52     -2.49898     1.06379     0     0
-2.37827     120.491     1.66159     0.899146     159.948     1.69002     0.162704     0.000952744     -1368.8     -2.52188     0.971559     0     0
-2.37802     120.297     1.64381     0.832062     170.903     1.66705     1.82931     0.00335247     -1372.49     -2.53255     0.855664     0     0
-2.37802     121.07     1.64942     0.940192     182.748     1.62195     7.04124     0.00315328     -1374.47     -2.53255     0.97003     0     0
-2.38663     120.259     1.65123     0.828006     156.512     1.67401     0.161449     0.00171792     -1371.56     -2.50503     0.891074     0     0
-2.38663     120.625     1.65551     0.882099     168.656     1.66511     10.2757     0.00046957     -1373.55     -2.52553     0.942136     0     0
-2.40038     119.992     1.65586     0.967785     168.656     1.66511     3.09182     0.00046957     -1367.07     -2.53281     0.956283     0     0
-2.39039     120.699     1.64498     1.06378     186.291     1.66511     13.0079     0.00207049     -1372.39     -2.55925     1.10278     0     0
-2.39227     122.187     1.64498     1.01439     181.963     1.66881     1.0848     0.00207049     -1368.97     -2.50117     1.08355     0     0
-2.39867     122.574     1.63395     0.991405     188.14     1.66024     6.28368     0.00403125     -1369.02     -2.55019     1.00205     0     0
-2.40984     121.812     1.63395     0.974534     193.043     1.59998     2.76213     0.00403125     -1368.71     -2.51888     1.11868     0     0
-2.3964     121.884     1.64417     0.974534     181.372     1.68949     0.972698     0.00180888     -1374.16     -2.57075     1.11764     0     0
-2.41367     121.347     1.63805     0.932619     180.381     1.66192     1.57864     0.00167948     -1371.07     -2.5739     1.12892     0     0
-2.41367     122.094     1.63805     0.876231     158.127     1.68033     1.87617     0.00893474     -1368.82     -2.52984     0.866983     0     0
-2.35965     125.621     1.63986     0.920261     158.127     1.65866     0.857761     0.00221918     -1365.39     -2.47088     0.871889     0     0
-2.31866     126.267     1.63986     0.888954     158.127     1.68451     0.857761     0.0105847     -1371.02     -2.46259     0.890169     0     0
-2.32333     126.904     1.64318     0.988648     160.342     1.66796     3.3102     0.00648715     -1370.75     -2.46444     1.01958     0     0
-2.28923     126.591     1.6557     0.97663     171.915     1.69012     0.3615     0.00564131     -1368.17     -2.43095     1.21583     0     0
-2.28848     125.929     1.65578     1.00689     168.457     1.67125     2.9025     0.008354     -1364.76     -2.42641     1.07304     0     0
-2.31756     124.964     1.65578     1.01783     171.246     1.67125     4.8923     0.000160498     -1361.21     -2.45114     1.0821     0     0
-2.32417     125.071     1.65957     1.01783     159.676     1.67271     0.0245604     0.0148692     -1367.5     -2.4405     1.03413     0     0
-2.32417     124.772     1.6611     0.958204     159.258     1.66932     3.56971     0.00554243     -1368.8     -2.45231     1.07051     0     0
-2.32293     123.771     1.66456     0.997189     160.07     1.66095     5.78969     0.00248068     -1365.04     -2.45716     0.974357     0     0
-2.34797     123.13     1.6664     1.05195     167.208     1.65675     1.06931     0.00421831     -1368.27     -2.41318     1.0547     0     0
-2.3452     122.82     1.66738     0.954032     159.441     1.64564     4.39327     0.0050941     -1371.16     -2.50615     1.01041     0     0
-2.34415     122.82     1.64713     0.953499     175.231     1.65541     1.70641     0.00351376     -1368.26     -2.47457     0.935275     0     0
-2.34719     123.484     1.64555     0.911851     163.025     1.6693     4.66292     4.92881e-05     -1369.63     -2.49466     0.963735     0     0
-2.32728     124.507     1.64117     0.848333     166.539     1.67858     10.3376     4.92881e-05     -1368.33     -2.49866     1.05097     0     0
-2.38292     121.795     1.65462     1.05801     178.472     1.64024     3.09953     0.00193369     -1366.56     -2.50099     1.06977     0     0
-2.37178     122.138     1.65462     1.05801     184.792     1.67011     3.84783     0.00290916     -1371.19     -2.50099     1.12688     0     0
-2.40175     122.045     1.64834     1.08343     181.794     1.63982     0.941167     0.000638773     -1368.14     -2.51312     1.04923     0     0
-2.43617     120.525     1.65932     1.15644     183.951     1.67715     4.54445     0.000638773     -1367.65     -2.5109     1.08506     0     0
-2.39301     119.408     1.66779     1.11097     180.235     1.67715     0.497235     0.00202591     -1360.89     -2.5233     1.11582     0     0
-2.39196     118.096     1.66917     1.10053     195.269     1.64134     0.571382     0.00202591     -1366.41     -2.50495     1.08135     0     0
-2.39196     118.096     1.66581     1.10053     195.269     1.60146     4.36374     0.00053073     -1368.45     -2.55224     1.20166     0     0
-2.42824     117.857     1.66581     1.1129     191.681     1.60146     0.292408     0.00610412     -1371.5     -2.53022     0.946308     0     0
-2.44866     116.546     1.66494     0.989266     181.985     1.63354     2.51516     0.000172377     -1365.99     -2.54621     0.960861     0     0
-2.44587     117.277     1.66494     1.09321     185.679     1.645     0.216856     0.00356331     -1368.16     -2.51536     1.05459     0     0
-2.42116     117.061     1.66602     1.06625     187.078     1.62357     0.216856     0.00111803     -1370.08     -2.56876     0.971536     0     0
-2.44098     116.639     1.66894     1.02826     169.238     1.69524     1.04649     0.00244922     -1371.02     -2.53722     1.02447     0     0
-2.42506     118.056     1.66894     1.09874     174.665     1.67191     0.333479     0.00563058     -1367.47     -2.53232     1.02468     0     0
-2.39598     117.531     1.6758     1.10249     178.286     1.67191     0.333479     0.00577462     -1364.02     -2.53423     1.18354     0     0
-2.39598     117.531     1.67629     1.02699     178.286     1.65738     6.49847     0.000120282     -1366.67     -2.53423     1.03529     0     0
-2.42024     118.423     1.6649     1.00948     177.504     1.67687     5.45533     0.000120282     -1364.41     -2.52885     1.03568     0     0
-2.39285     119.629     1.6649     1.02456     172.029     1.65158     1.33457     0.00135093     -1366.2     -2.52803     1.06388     0     0
-2.38595     119.128     1.66368     1.0431     189.032     1.63565     2.28626     0.00994956     -1368.23     -2.53764     1.10478     0     0
-2.38082     120.159     1.66021     1.0431     186.15     1.64107     3.07223     0.001559     -1365.29     -2.50427     1.09377     0     0
-2.38956     119.984     1.66379     1.0431     177.329     1.64037     0.52499     0.0043129     -1362.93     -2.49924     1.02874     0     0
-2.38956     120.385     1.67452     1.16083     189.094     1.61931     4.44002     0.00168823     -1363.9     -2.50059     1.18473     0     0
-2.38956     118.889     1.68206     1.16399     189.094     1.63789     8.05343     0.000663051     -1367.01     -2.50463     1.23196     0     0
-2.34989     119.338     1.69105     1.20934     180.262     1.63789     0.180359     0.000663051     -1370.61     -2.48881     1.27657     0     0
-2.36641     119.44     1.67922     1.18982     198.343     1.63789     0.807205     8.42059e-05     -1369.58     -2.51063     1.29261     0     0
-2.35636     120.168     1.67888     1.16339     197.313     1.62014     2.64739     0.00173596     -1366.96     -2.49202     1.29261     0     0
-2.35636     119.953     1.67888     1.20665     191.422     1.63909     2.35325     0.00173596     -1368.98     -2.49634     1.2533     0     0
-2.35314     119.854     1.6787     1.22472     204.268     1.60562     3.64572     0.00282127     -1371.31     -2.51678     1.34005     0     0
-2.39269     120.07     1.67639     1.32898     203.673     1.63121     3.65799     0.00946153     -1373.63     -2.52439     1.34005     0     0
-2.41236     120.45     1.66338     1.24861     212.693     1.62901     10.6838     0.00498979     -1377.58     -2.52453     1.19315     0     0
-2.42542     118.808     1.66284     1.04894     185.858     1.64428     1.04363     0.00042865     -1364.5     -2.52275     1.02465     0     0
-2.38239     118.276     1.66276     1.02574     185.858     1.66067     1.08112     0.00700517     -1365.59     -2.524     1.12847     0     0
-2.38996     119.007     1.65212     0.973444     182.212     1.67169     8.76084     0.000794632     -1373.28     -2.53898     1.11649     0     0
-2.40203     121.485     1.63875     0.947441     186.301     1.6502     7.51121     0.00590745     -1373.22     -2.53283     1.05555     0     0
-2.39721     121.734     1.6405     1.04636     196.699     1.64049     3.83281     0.00116234     -1367.96     -2.49017     0.986401     0     0
-2.42517     121.289     1.64413     1.04636     191.144     1.64049     4.38358     0.0044112     -1365.81     -2.52334     1.00274     0     0
-2.39527     122.499     1.6416     1.04636     179.603     1.675     6.45501     0.00162587     -1366.1     -2.52395     1.0287     0     0
-2.39427     122.397     1.63507     0.853085     169.428     1.65338     4.70186     0.00244692     -1370.18     -2.51501     0.888504     0     0
-2.39427     122.224     1.63558     0.853085     166.333     1.6746     9.71036     0.00518652     -1373.16     -2.52191     0.881885     0     0
-2.37255     123.033     1.63831     0.853785     163.452     1.70229     3.18212     0.00251459     -1370.65     -2.50622     0.877341     0     0
-2.37255     121.176     1.64016     0.838576     164.981     1.71303     1.63283     0.0128567     -1377.89     -2.53848     0.960651     0     0
-2.39094     121.857     1.64104     0.921799     173.847     1.67804     4.35282     0.0047978     -1364.86     -2.53202     1.04489     0     0
-2.38098     122.367     1.66238     0.996906     167.846     1.65345     1.04476     0.00402162     -1368.58     -2.5148     1.04489     0     0
-2.34649     122.757     1.66514     0.962676     167.855     1.63142     1.5795     0.000861226     -1368.42     -2.44729     0.97916     0     0
-2.34568     123.214     1.66359     1.04595     162.461     1.65119     5.33406     0.00441298     -1365.77     -2.44729     1.01825     0     0
-2.32147     123.061     1.66693     1.08838     176.905     1.6488     3.02318     0.00852132     -1369.89     -2.4383     1.06273     0     0
-2.32334     123.061     1.66606     1.08374     181.181     1.60736     6.69162     0.000341409     -1369.62     -2.46061     1.16573     0     0
-2.34034     123.35     1.66744     1.13798     170.039     1.66734     12.9814     0.000341409     -1367.75     -2.46529     1.16323     0     0
-2.32828     123.432     1.66711     1.09762     165.846     1.66821     13.0729     0.000341409     -1366.09     -2.49517     1.18636     0     0
-2.3321     123.845     1.66254     1.09762     176.203     1.6756     5.53699     0.00185838     -1368.73     -2.49392     1.22883     0     0
-2.3321     123.678     1.66988     1.19971     178.555     1.65649     4.66652     0.000580262     -1371.27     -2.47593     1.30839     0     0
-2.28015     125.668     1.66988     1.15923     179.89     1.65802     1.66652     0.000580262     -1370.55     -2.43929     1.25765     0     0
