X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.303000E+01   0.303000E+01   0.188200E+04   0.188200E+04   0.191041E+04  -0.284058E+02  -0.204383E+00
   0.302000E+01   0.302000E+01   0.184500E+04   0.184500E+04   0.190353E+04  -0.585264E+02  -0.424933E+00
   0.313000E+01   0.313000E+01   0.196200E+04   0.196200E+04   0.197978E+04  -0.177755E+02  -0.125369E+00
   0.285000E+01   0.285000E+01   0.163100E+04   0.163100E+04   0.178819E+04  -0.157187E+03  -0.120274E+01
   0.408000E+01   0.408000E+01   0.278300E+04   0.278300E+04   0.269004E+04   0.929646E+02   0.536474E+00
   0.409000E+01   0.409000E+01   0.261500E+04   0.261500E+04   0.269800E+04  -0.829964E+02  -0.498105E+00
   0.199000E+01   0.199000E+01   0.126400E+04   0.126400E+04   0.125229E+04   0.117128E+02   0.979998E-01
   0.218000E+01   0.218000E+01   0.136600E+04   0.136600E+04   0.136372E+04   0.227569E+01   0.185907E-01
   0.137000E+01   0.137000E+01   0.938000E+03   0.938000E+03   0.917062E+03   0.209376E+02   0.187999E+00
   0.123000E+01   0.123000E+01   0.878000E+03   0.878000E+03   0.847536E+03   0.304644E+02   0.276799E+00
   0.277000E+01   0.277000E+01   0.168800E+04   0.168800E+04   0.173497E+04  -0.469666E+02  -0.354638E+00
   0.293000E+01   0.293000E+01   0.186400E+04   0.186400E+04   0.184208E+04   0.219153E+02   0.158450E+00
   0.430000E+01   0.430000E+01   0.290500E+04   0.290500E+04   0.286747E+04   0.375341E+02   0.210446E+00
   0.436000E+01   0.436000E+01   0.286800E+04   0.286800E+04   0.291669E+04  -0.486851E+02  -0.275231E+00
   0.610000E+01   0.610000E+01   0.446000E+04   0.446000E+04   0.449437E+04  -0.343689E+02  -0.139297E+00
   0.226000E+01   0.226000E+01   0.141600E+04   0.141600E+04   0.141184E+04   0.415872E+01   0.335726E-01
   0.402000E+01   0.402000E+01   0.287500E+04   0.287500E+04   0.264248E+04   0.232521E+03   0.131392E+01
   0.409000E+01   0.409000E+01   0.267000E+04   0.267000E+04   0.269800E+04  -0.279964E+02  -0.165864E+00
   0.559000E+01   0.559000E+01   0.401900E+04   0.401900E+04   0.400234E+04   0.166604E+02   0.734891E-01
   0.567000E+01   0.567000E+01   0.413300E+04   0.413300E+04   0.407792E+04   0.550765E+02   0.237586E+00
   0.657000E+01   0.657000E+01   0.496200E+04   0.496200E+04   0.496897E+04  -0.697214E+01  -0.258354E-01
   0.666000E+01   0.666000E+01   0.507200E+04   0.507200E+04   0.506214E+04   0.985806E+01   0.358503E-01
   0.544000E+01   0.544000E+01   0.396000E+04   0.396000E+04   0.386223E+04   0.977659E+02   0.436432E+00
   0.618000E+01   0.618000E+01   0.462600E+04   0.462600E+04   0.457373E+04   0.522716E+02   0.205552E+00
   0.740000E+01   0.740000E+01   0.589700E+04   0.589700E+04   0.585571E+04   0.412890E+02   0.131589E+00
   0.164000E+01   0.164000E+01   0.104700E+04   0.104700E+04   0.105763E+04  -0.106284E+02  -0.932866E-01
   0.199000E+01   0.199000E+01   0.126300E+04   0.126300E+04   0.125229E+04   0.107128E+02   0.896527E-01
   0.156000E+01   0.156000E+01   0.106800E+04   0.106800E+04   0.101510E+04   0.529023E+02   0.462551E+00
   0.146000E+01   0.146000E+01   0.944000E+03   0.944000E+03   0.962976E+03  -0.189757E+02  -0.170109E+00
   0.398000E+01   0.398000E+01   0.264100E+04   0.264100E+04   0.261097E+04   0.300266E+02   0.179180E+00
   0.415000E+01   0.415000E+01   0.287100E+04   0.287100E+04   0.274597E+04   0.125029E+03   0.706850E+00
   0.396000E+01   0.396000E+01   0.268600E+04   0.268600E+04   0.259528E+04   0.907193E+02   0.400836E+00
   0.398000E+01   0.398000E+01   0.274500E+04   0.274500E+04   0.261097E+04   0.134027E+03   0.582011E+00
   0.400000E+01   0.400000E+01   0.273900E+04   0.273900E+04   0.262671E+04   0.112294E+03   0.488471E+00
   0.594000E+01   0.594000E+01   0.441100E+04   0.441100E+04   0.433742E+04   0.735850E+02   0.211937E+00
   0.333000E+01   0.333000E+01   0.215600E+04   0.215600E+04   0.212164E+04   0.343625E+02   0.179460E+00
   0.320000E+01   0.320000E+01   0.208200E+04   0.208200E+04   0.202896E+04   0.530449E+02   0.284044E+00
   0.530000E+00   0.530000E+00   0.413000E+03   0.413000E+03   0.535493E+03  -0.122493E+03  -0.119359E+01
   0.380000E+00   0.380000E+00   0.395000E+03   0.395000E+03   0.483111E+03  -0.881112E+02  -0.860602E+00
   0.811000E+01   0.811000E+01   0.683800E+04   0.683800E+04   0.666251E+04   0.175489E+03   0.334794E+00
   0.309000E+01   0.309000E+01   0.196400E+04   0.196400E+04   0.195190E+04   0.120978E+02   0.674503E-01
   0.555000E+01   0.555000E+01   0.390000E+04   0.390000E+04   0.396477E+04  -0.647719E+02  -0.208442E+00
   0.650000E+00   0.650000E+00   0.560000E+03   0.560000E+03   0.584672E+03  -0.246722E+02  -0.226338E+00
   0.800000E+00   0.800000E+00   0.650000E+03   0.650000E+03   0.648694E+03   0.130614E+01   0.116772E-01
   0.500000E+00   0.500000E+00   0.470000E+03   0.470000E+03   0.523484E+03  -0.534845E+02  -0.502137E+00
   0.490000E+01   0.490000E+01   0.331000E+04   0.331000E+04   0.337546E+04  -0.654589E+02  -0.243149E+00
   0.492000E+01   0.492000E+01   0.332000E+04   0.332000E+04   0.339299E+04  -0.729920E+02  -0.270428E+00
   0.495000E+01   0.495000E+01   0.342000E+04   0.342000E+04   0.341936E+04   0.636405E+00   0.229865E-02
   0.500000E+01   0.500000E+01   0.348000E+04   0.348000E+04   0.346351E+04   0.164921E+02   0.586794E-01
   0.218000E+01   0.218000E+01   0.136000E+04   0.136000E+04   0.136372E+04  -0.372431E+01  -0.258712E-01
   0.139000E+01   0.139000E+01   0.928000E+03   0.928000E+03   0.927183E+03   0.816646E+00   0.769551E-02
   0.373000E+01   0.373000E+01   0.243700E+04   0.243700E+04   0.241770E+04   0.193005E+02   0.144382E+00
   0.640000E+01   0.640000E+01   0.465700E+04   0.465700E+04   0.479499E+04  -0.137985E+03  -0.709762E+00
   0.640000E+01   0.640000E+01   0.474800E+04   0.474800E+04   0.479499E+04  -0.469850E+02  -0.126463E+00
   0.720000E+01   0.720000E+01   0.540700E+04   0.540700E+04   0.563643E+04  -0.229427E+03  -0.105524E+01
   0.720000E+01   0.720000E+01   0.543500E+04   0.543500E+04   0.563643E+04  -0.201427E+03  -0.477946E+00
   0.685000E+01   0.685000E+01   0.550200E+04   0.550200E+04   0.526123E+04   0.240770E+03   0.109398E+01
   0.740000E+01   0.740000E+01   0.593000E+04   0.593000E+04   0.585571E+04   0.742890E+02   0.317946E+00
   0.770000E+01   0.770000E+01   0.627800E+04   0.627800E+04   0.619124E+04   0.867575E+02   0.179615E+00
   0.772000E+01   0.772000E+01   0.642300E+04   0.642300E+04   0.621389E+04   0.209108E+03   0.423611E+00
   0.785000E+01   0.785000E+01   0.614800E+04   0.614800E+04   0.636196E+04  -0.213962E+03  -0.888750E+00
   0.786000E+01   0.786000E+01   0.618700E+04   0.618700E+04   0.637341E+04  -0.186413E+03  -0.391278E+00
   0.964000E+01   0.964000E+01   0.930200E+04   0.930200E+04   0.870299E+04   0.599011E+03   0.125277E+01
   0.972000E+01   0.972000E+01   0.955500E+04   0.955500E+04   0.882181E+04   0.733189E+03   0.149478E+01
   0.990000E+01   0.990000E+01   0.957800E+04   0.957800E+04   0.909303E+04   0.484967E+03   0.667131E+00
   0.984000E+01   0.984000E+01   0.923300E+04   0.923300E+04   0.900203E+04   0.230965E+03   0.329307E+00
   0.717000E+01   0.717000E+01   0.595000E+04   0.595000E+04   0.560384E+04   0.346160E+03   0.754329E+00
   0.735000E+01   0.735000E+01   0.609300E+04   0.609300E+04   0.580056E+04   0.292441E+03   0.122512E+01
   0.765000E+01   0.765000E+01   0.617800E+04   0.617800E+04   0.613477E+04   0.432276E+02   0.908723E-01
   0.105000E+02   0.105000E+02   0.110290E+05   0.110290E+05   0.100346E+05   0.994352E+03   0.176668E+01
   0.103800E+02   0.103800E+02   0.108830E+05   0.108830E+05   0.984180E+04   0.104120E+04   0.187387E+01
   0.325000E+01   0.325000E+01   0.197400E+04   0.197400E+04   0.214164E+04  -0.167641E+03  -0.135550E+01
   0.328000E+01   0.328000E+01   0.197400E+04   0.197400E+04   0.216336E+04  -0.189363E+03  -0.105126E+01
   0.329000E+01   0.329000E+01   0.212800E+04   0.212800E+04   0.217062E+04  -0.426239E+02  -0.336166E+00
   0.331000E+01   0.331000E+01   0.222000E+04   0.222000E+04   0.218518E+04   0.348227E+02   0.298453E+00
   0.501000E+01   0.501000E+01   0.357000E+04   0.357000E+04   0.356840E+04   0.159773E+01   0.981271E-02
   0.500000E+01   0.500000E+01   0.353200E+04   0.353200E+04   0.355944E+04  -0.274419E+02  -0.169607E+00
   0.500000E+01   0.500000E+01   0.353200E+04   0.353200E+04   0.355944E+04  -0.274419E+02  -0.200711E+00
   0.355000E+01   0.355000E+01   0.242900E+04   0.242900E+04   0.236301E+04   0.659907E+02   0.552469E+00
   0.357000E+01   0.357000E+01   0.242100E+04   0.242100E+04   0.237809E+04   0.429066E+02   0.359467E+00
   0.520000E+01   0.520000E+01   0.382200E+04   0.382200E+04   0.374045E+04   0.815467E+02   0.575552E+00
   0.396000E+01   0.396000E+01   0.278500E+04   0.278500E+04   0.268029E+04   0.104711E+03   0.840760E+00
   0.416000E+01   0.416000E+01   0.305300E+04   0.305300E+04   0.284115E+04   0.211851E+03   0.164769E+01
   0.280000E+01   0.280000E+01   0.186600E+04   0.186600E+04   0.182702E+04   0.389804E+02   0.347045E+00
   0.164000E+01   0.164000E+01   0.110000E+04   0.110000E+04   0.111607E+04  -0.160678E+02  -0.153121E+00
   0.163000E+01   0.163000E+01   0.108900E+04   0.108900E+04   0.111059E+04  -0.215878E+02  -0.205879E+00
   0.149000E+01   0.149000E+01   0.103500E+04   0.103500E+04   0.103507E+04  -0.696370E-01  -0.666886E-03
   0.373000E+01   0.373000E+01   0.240600E+04   0.240600E+04   0.250022E+04  -0.942225E+02  -0.789751E+00
   0.369000E+01   0.369000E+01   0.228600E+04   0.228600E+04   0.246945E+04  -0.183448E+03  -0.155744E+01
   0.198000E+01   0.198000E+01   0.130300E+04   0.130300E+04   0.130911E+04  -0.611150E+01  -0.573243E-01
   0.196000E+01   0.196000E+01   0.126000E+04   0.126000E+04   0.129740E+04  -0.373972E+02  -0.351891E+00
   0.842000E+01   0.842000E+01   0.675900E+04   0.675900E+04   0.716335E+04  -0.404351E+03  -0.201097E+01
   0.831000E+01   0.831000E+01   0.652000E+04   0.652000E+04   0.702722E+04  -0.507223E+03  -0.258811E+01
   0.301000E+01   0.301000E+01   0.195000E+04   0.195000E+04   0.197121E+04  -0.212146E+02  -0.187118E+00
   0.103000E+01   0.103000E+01   0.762000E+03   0.762000E+03   0.802990E+03  -0.409897E+02  -0.399309E+00
   0.746000E+01   0.746000E+01   0.591800E+04   0.591800E+04   0.604234E+04  -0.124344E+03  -0.679801E+00
   0.424000E+01   0.424000E+01   0.303200E+04   0.303200E+04   0.290660E+04   0.125401E+03   0.977168E+00
