"Pr" "Mp" "Qhyd_2" "Qhyd_9" "Qtot_2" "Qtot_9" "nyears"
100 10206.052 10335.569 10849.124 9898.306 12148.561 126
1000 11599.318 11731.982 12565.358 10990.727 15059.716 126
100 10476.896 10276.197 10924.432 9874.828 12159.331 128
1000 12035.649 11744.528 12723.11 11001.047 15148.435 128
100 10418.724 10294.852 10901.884 9872.143 12068.183 130
1000 11839.735 11777.468 12569.969 10985.112 14959.611 130
100 10766.6 10329.113 10940.952 9907.448 12116.071 132
1000 12233.913 11736.192 12613.038 10999.079 14979.968 132
100 10582.651 10322.868 10959.912 9907.797 12109.36 134
1000 12139.782 11721.726 12651.887 10988.533 14939.267 134
100 10764.092 10336.251 10981.034 9920.163 12126.861 136
1000 12410.899 11792.871 12701.454 11006.916 14973.381 136
100 10569.57 10333.973 10890.745 9927.452 12073.371 138
1000 11877.16 11715.862 12532.803 11003.584 14852.463 138
100 10704.363 10325.685 10918.584 9940.227 11991.819 140
1000 12129.261 11637.03 12503.396 10999.381 14619.936 140
100 10366.287 10275.043 10843.477 9911.54 11996.468 142
1000 11781.004 11670.072 12405.979 10977.22 14681.385 142
100 10510.055 10251.736 10880.584 9905.011 11960.8 144
1000 11973.531 11636.142 12416.667 10978.139 14625.639 144
100 10850.098 10356.514 10971.481 9905.474 12003.424 146
1000 12461.619 11807.091 12632.211 10989.929 14744.039 146
100 10848.95 10277.722 10901.43 9888.704 11963.539 148
1000 12659.593 11656.409 12553.189 10978.347 14696.356 148
100 10920.411 10245.426 10801.077 9887.22 11914.326 150
1000 12361.55 11600.975 12347.808 10955.049 14513.624 150
100 10503.482 10277.664 10855.86 9898.803 11979.615 152
1000 11863.15 11684.403 12475.1 10972.975 14734.339 152
100 10482.057 10271.225 10881.547 9895.759 11945.326 154
1000 12039.33 11645.038 12473.615 10970.965 14654.235 154
100 10425.848 10263.749 10820.829 9855.867 11957.313 156
1000 11820.333 11707.323 12524.66 10961.599 14784.581 156
100 10589.466 10243.86 10809.331 9853.115 11873.402 158
1000 12247.112 11688.89 12461.764 10954.943 14617.436 158
100 10319.816 10291.714 10843.533 9838.095 11910.751 160
1000 11926.882 11750.527 12464.645 10956.917 14744.493 160
100 10416.682 10227.325 10822.077 9816.106 11967.709 162
1000 12020.458 11702.702 12571.22 10963.677 14898.017 162
100 10520.684 10278.206 10844.007 9826.396 11949.625 164
1000 12089.514 11781.295 12585.221 10974.262 14900.387 164
100 11206.06 10748.067 11451.043 10257.171 12628.362 166
1000 13257.426 12683.673 13793.237 11734.523 16283.394 166
100 10728.609 10614.686 11386.318 10198.868 12556.706 168
1000 12704.742 12404.885 13655.85 11650.034 16102.492 168
100 11469.531 10648.265 11387.165 10183.422 12511.511 170
1000 13793.005 12463.129 13695.446 11656.703 16069.433 170
100 11223.551 10559.78 11418.293 10143.199 12510.913 172
1000 13322.081 12378.526 13728.557 11611.724 16052.091 172
100 10885.373 10597.197 11374.963 10128.443 12444.2 174
1000 12938.752 12384.578 13662.734 11577.968 15947.019 174
100 10811.179 10573.21 11356.213 10177.175 12416.172 176
1000 12692.273 12445.432 13638.787 11640.693 15907.149 176
100 10821.185 10545.759 11322.471 10154.413 12405.6 178
1000 12670.631 12334.815 13541.087 11599.246 15819.503 178
100 11527.842 10536.015 11339.451 10171.898 12411.159 180
1000 13769.853 12271.289 13492.248 11598.411 15767.43 180
100 11398.201 10843.344 11911.343 10443.014 12991.172 182
1000 13920.719 12767.397 14651.854 12027.122 16978.676 182
100 11231.647 10759.625 11853.688 10399.959 12956.107 184
1000 13339.918 12729.706 14504.453 11979.078 16919.885 184
100 11197.134 10889.62 11926.594 10472.146 13006.27 186
1000 13278.172 12857.008 14719.152 12112.05 17049.17 186
100 10950.866 10652.005 11873.442 10367.23 12926.9 188
1000 12858.003 12583.71 14519.33 11916.555 16917.587 188
100 10969.501 10731.621 11829.451 10402.655 12961.327 190
