"Pr" "Mp" "Qhyd_2" "Qhyd_9" "Qtot_2" "Qtot_9" "start"
1000 11576.183 10820.045 12088.737 10123.36 14687.864 1867
100 10307.396 9717.203 10690.188 9344.22 11955.82 1868
1000 11602.025 10824.754 12117.772 10111.298 14602.005 1868
100 10072.561 9755.327 10793.558 9356.505 12030.459 1869
1000 11249.318 10898.066 12238.746 10126.956 14773.468 1869
100 9935.458 9693.475 10731.336 9331.908 11950.694 1870
1000 11164.266 10745.19 12166.126 10102.048 14614.702 1870
100 10390.928 9704.647 10723.881 9339.655 11939.834 1871
1000 11651.006 10783.973 12114.591 10102.271 14552.865 1871
100 10393.86 9675.794 10719.705 9327.092 11859.228 1872
1000 11698.472 10794.182 12057.301 10089.732 14401.039 1872
100 10655.181 9687.383 10689.874 9335.844 11870.376 1873
1000 12043.739 10836.892 12221.225 10129.855 14524.286 1873
100 10101.349 9732.791 10665.961 9358.58 11958.903 1874
1000 11326.352 10874.939 12199.955 10161.103 14738.444 1874
100 9815.812 9734.965 10784.544 9326.728 11961.641 1875
1000 11177.727 10892.312 12282.246 10131.33 14734.503 1875
100 10475.129 9768.136 10704.447 9361.487 11930.724 1876
1000 11839.939 10901.977 12124.111 10128.796 14563.182 1876
100 10147.329 9686.23 10676.788 9363.677 11876.97 1877
1000 11421.851 10738.222 12057.6 10106.155 14386.729 1877
100 10361.294 9726.446 10608.943 9367.014 11802.672 1878
1000 11550.074 10760.056 11895.559 10082.557 14229.315 1878
100 10228.43 9699.808 10654.542 9351.419 11760.932 1879
1000 11307.755 10692.986 11964.381 10051.121 14115.401 1879
100 9646.907 9729.913 10637.662 9350.627 11820.363 1880
1000 10689.455 10743.936 11991.214 10053.247 14243.304 1880
100 10362.168 9651.097 10618.663 9339.422 11745.059 1881
1000 11511.274 10603.729 11958.315 10032.686 14076.01 1881
100 9647.883 9673.545 10643.035 9337.726 11722.777 1882
1000 10619.688 10628.635 11958.368 10040.379 14046.954 1882
100 10361.88 9695.826 10657.847 9336.571 11711.417 1883
1000 11556.522 10716.198 11989.588 10039.747 14052.429 1883
100 10012.503 9707.955 10596.129 9343.428 11725.881 1884
1000 11033.75 10696.693 11912.271 10042.536 14065.293 1884
100 10000.693 9687.961 10653.205 9350.734 11799.999 1885
1000 11137.332 10733.481 12057.144 10093.299 14312.401 1885
100 9845.794 9701.664 10600.344 9340.849 11727.313 1886
1000 10912.637 10726.74 11988.307 10063.373 14137.284 1886
100 9715.03 9621.529 10587.624 9288.124 11606.759 1887
1000 10780.067 10618.215 11957.237 10016.918 13927.391 1887
100 10323.131 9566.928 10455.175 9285.396 11555.467 1888
1000 11520.779 10525.954 11766.125 10000.17 13803.741 1888
100 9754.293 9563.055 10491.012 9242.4 11524.043 1889
1000 10742.239 10567.423 11841.516 9975.029 13833.155 1889
100 9728.319 9507.046 10358.297 9209.67 11411.721 1890
1000 10788.035 10475.866 11663.289 9959.548 13671.519 1890
100 10032.185 9538.584 10444.906 9191.933 11449.058 1891
1000 11232.187 10577.712 11888.688 9966.57 13800.997 1891
100 9775.967 9481.443 10402.117 9181.357 11427.61 1892
1000 10969.467 10541.365 11814.511 9976.739 13811.637 1892
100 9747.436 9616.111 10422.763 9261.349 11572.253 1893
1000 10932.039 10717.691 11894.256 10055.582 14049.087 1893
100 10365.528 9862.355 10611.934 9425.659 11809.64 1894
1000 11739.758 11056.641 12092.978 10269.636 14431.999 1894
100 10173.648 9823.236 10594.755 9425.24 11749.472 1895
1000 11544.496 10965.082 12035.986 10234.823 14267.191 1895
100 10131.621 9869.001 10595.768 9451.836 11788.994 1896
1000 11317.989 10997.201 12015.257 10237.747 14289.678 1896
100 10111.169 9737.845 10457.489 9381.633 11601.248 1897
1000 11254.343 10819.676 11745.286 10157.179 13963.996 1897
100 10256.623 9780.9 10502.853 9385.295 11684.383 1898
1000 11626.413 10873.929 11871.336 10166.626 14145.656 1898
100 9867.982 9799.644 10503.014 9401.547 11691.165 1899
1000 10925.462 10909.138 11892.839 10188.387 14141.013 1899
100 10182.155 9788.522 10449.064 9403.512 11665.249 1900
1000 11405.017 10865.595 11771.672 10167.873 14053.402 1900
100 10124.795 9667.3 10287.279 9313.557 11436.078 1901
1000 11273.501 10694.468 11544.733 10070.601 13669.723 1901
100 10057.624 9871.5 10466.283 9434.571 11680.318 1902
1000 11175.62 10988.579 11832.8 10216.079 14126.548 1902
100 10684.951 10412.204 10940.628 9910.324 12438.844 1903
1000 12275.521 11855.07 12709.815 11010.349 15551.496 1903
100 10558.578 10397.292 10976.246 9909.464 12433.353 1904
1000 11964.201 11884 12745.219 11028.888 15569.29 1904
100 10760.08 10423.3 10983.394 9918.035 12511.351 1905
1000 12455.748 11929.517 12794.298 11037.009 15760.064 1905
100 10665.46 10417.971 10914.511 9905.945 12468.165 1906
1000 12310.767 11859.781 12685.976 11012.813 15632.739 1906
100 10665.268 10455.597 11003.842 9916.915 12560.836 1907
1000 12291.453 11949.252 12801.265 11038.581 15880.247 1907
100 10676.305 10382.886 10882.711 9865.089 12403.369 1908
1000 12293.316 11857.662 12626.843 10985.917 15585.857 1908
100 10592.695 10342.83 10907.164 9866.653 12342.985 1909
1000 12157.925 11763.532 12616.863 10969.446 15426.947 1909
100 10449.479 10343.112 10856.83 9870.248 12315.198 1910
1000 11867.728 11751.614 12541.424 10962.835 15306.012 1910
100 10666.79 10238.091 10765.864 9804.845 12145.312 1911
1000 12150.392 11612.259 12397.849 10895.581 15039.71 1911
100 10520.82 10208.761 10790.723 9799.508 12109.031 1912
1000 11897.677 11607.617 12423.577 10887.856 14933.03 1912
100 10405.56 10235.489 10729.241 9812.437 12067.993 1913
1000 11732.019 11588.236 12362.977 10879.444 14814.195 1913
100 10383.893 10247.108 10759.517 9833.89 12090.521 1914
1000 11740.578 11548.256 12312.461 10891.94 14814.06 1914
100 10554.601 10258.607 10751.481 9821.283 12126.625 1915
1000 12016.621 11639.529 12391.125 10896.656 14956.337 1915
100 10723.593 10278.626 10796.551 9859.083 12189.947 1916
1000 12369.429 11608.447 12378.791 10918.535 15021.266 1916
100 10633.289 10300.106 10794.382 9858.173 12223.678 1917
1000 12054.095 11637.68 12375.322 10926.847 15097.245 1917
100 10484.34 10288.158 10804.79 9847.939 12207.661 1918
1000 11931.602 11653.662 12420.768 10925.974 15096.452 1918
100 10664.569 10298.577 10807.318 9862.301 12199.875 1919
1000 12174.744 11632.514 12410.98 10927.488 15077.411 1919
