"b1_2"     "a1"     "c1"     "b2_2"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_2"     "k2_2"     "ktype1_2"     "ktype2_2"
-2.63458     114.86     1.67288     0.440171     169.58     1.65452     1.24818     0.00227433     -1364.82     -2.09571     0.881425     0     0
-2.73097     114.86     1.68089     0.350905     187.781     1.65433     3.28094     0.00135175     -1361.75     -2.09408     0.955109     0     0
-2.67363     114.536     1.69948     0.732542     153.036     1.65119     6.15653     0.000436665     -1369.43     -2.09408     0.897668     0     0
-2.81912     114.771     1.70434     0.190461     159.113     1.65119     4.16271     0.00037055     -1369.08     -2.08932     0.772757     0     0
-2.77947     114.482     1.70434     0.511853     162.29     1.70022     1.63896     0.00194133     -1370.38     -2.20826     0.687766     0     0
-2.79225     115.144     1.7151     1.3495     146.774     1.70022     2.37007     0.00225335     -1372.23     -2.0459     1.26176     0     0
-2.72469     115.348     1.70494     1.16069     149.288     1.68473     1.16721     0.00225335     -1367.07     -2.11332     0.955264     0     0
-2.73074     116.29     1.68756     0.713452     153.417     1.68473     2.9901     0.00547038     -1368.02     -2.17682     0.653114     0     0
-2.84401     118.308     1.68843     0.505735     155.581     1.67963     7.69583     0.00127736     -1364.42     -2.03926     1.07306     0     0
-2.81638     118.308     1.69247     0.537223     169.1     1.67499     14.3252     0.00141794     -1369.32     -1.99003     0.697152     0     0
-2.69455     118.554     1.68937     0.774252     156.344     1.63953     2.59268     0.000571159     -1370.98     -2.08989     0.669302     0     0
-2.82051     118.053     1.68884     0.709501     157.196     1.7103     2.59268     0.0039139     -1369.57     -2.07481     1.01246     0     0
-2.69845     118.38     1.6873     0.709501     161.361     1.7016     1.00456     0.0100854     -1370.2     -2.09211     0.852232     0     0
-2.6372     118.053     1.69476     0.5284     173.282     1.62627     1.00456     0.00544629     -1366.1     -2.0003     0.863577     0     0
-2.6866     116.736     1.70339     0.5284     173.899     1.61834     7.06446     0.00429676     -1369     -1.98261     0.757078     0     0
-2.37218     117.852     1.70035     0.596958     185.642     1.62995     4.19917     0.00134241     -1366.87     -1.96618     0.757078     0     0
-2.74969     117.852     1.69655     0.342088     183.274     1.62241     1.50188     0.00338196     -1367.07     -2.03935     0.961828     0     0
-2.7938     118.353     1.69655     0.189772     172.163     1.60385     1.8468     0.00770228     -1369.36     -2.02493     0.765023     0     0
-2.92526     117.04     1.69322     0.766651     175.731     1.65658     5.92672     0.00127919     -1370.43     -2.10897     1.09875     0     0
-2.72871     117.021     1.69326     0.600036     192.965     1.65658     6.26134     0.0046982     -1373.92     -2.05144     1.15508     0     0
-2.75883     117.254     1.69276     0.899275     183.393     1.62495     2.53645     0.00771019     -1366.08     -2.0509     0.953101     0     0
-2.7846     117.433     1.68445     0.728645     184.639     1.62495     0.85743     0.00593011     -1367.88     -1.98529     1.42454     0     0
-2.80865     118.561     1.67329     0.86658     186.615     1.68562     0.85743     0.00489454     -1369.16     -2.11065     1.1245     0     0
-2.68912     118.752     1.66788     0.739169     174.953     1.64772     2.11996     0.00016869     -1377.15     -2.02923     0.674318     0     0
-2.94992     120.049     1.66637     0.620141     179.172     1.66466     3.20929     0.00547814     -1372.18     -2.15976     0.860914     0     0
-3.03922     120.102     1.65586     0.813993     182.901     1.64118     3.17074     0.00236629     -1365.98     -2.08246     0.988395     0     0
