"h" "inf" "sup" "maxpost" "period"
"145" -2.56 218.46 814.86 483.24 1
"146" -2.55 205.93 807.11 484.23 1
"147" -2.54 209.89 811.03 485.21 1
"148" -2.53 227.18 799.65 486.2 1
"149" -2.52 205.53 801.62 487.18 1
"150" -2.51 220.93 806.31 488.17 1
"151" -2.5 219.65 813.98 489.16 1
"152" -2.49 210.44 804.24 490.15 1
"153" -2.48 209.44 804.15 491.14 1
"154" -2.47 228.22 831.49 492.13 1
"155" -2.46 212.95 816.45 493.12 1
"156" -2.45 219.19 808.18 494.11 1
"157" -2.44 224.58 817.98 495.1 1
"158" -2.43 242.64 811.65 496.1 1
"159" -2.42 229.05 812.71 497.09 1
"160" -2.41 229.35 815.41 498.08 1
"161" -2.4 229.99 818.46 499.08 1
"162" -2.39 223.6 823.66 500.08 1
"163" -2.38 230.79 812.76 501.07 1
"164" -2.37 234.99 817.05 502.07 1
"165" -2.36 235.11 826.79 503.07 1
"166" -2.35 236.73 818.99 504.07 1
"167" -2.34 223.65 817.1 505.07 1
"168" -2.33 232.7 834.12 506.07 1
"169" -2.32 220.22 825.72 507.08 1
"170" -2.31 236.32 829.92 508.08 1
"171" -2.3 235.7 836.67 509.08 1
"172" -2.29 235.35 823.46 510.09 1
"173" -2.28 234.61 822.24 511.09 1
"174" -2.27 242.45 823 512.1 1
"175" -2.26 237.54 831.07 513.11 1
"176" -2.25 240.48 829.88 514.11 1
"177" -2.24 223.55 830.71 515.12 1
"178" -2.23 238.32 830.89 516.13 1
"179" -2.22 254.87 839.29 517.14 1
"180" -2.21 236.32 838.08 518.15 1
"181" -2.2 223.11 835.22 519.17 1
"182" -2.19 236.9 828.52 520.18 1
"183" -2.18 242.07 842.28 521.19 1
"184" -2.17 239.79 845.88 522.21 1
"185" -2.16 246.69 844.98 523.22 1
"186" -2.15 243.88 850.21 524.24 1
"187" -2.14 243.47 854.8 525.25 1
"188" -2.13 254.23 846.65 526.27 1
"189" -2.12 249.49 857.79 527.29 1
"190" -2.11 228.11 839.6 528.31 1
"191" -2.1 244.64 860.19 529.33 1
"192" -2.09 251.06 846.15 530.35 1
"193" -2.08 241.07 843.68 531.37 1
"194" -2.07 252.45 848.86 532.39 1
"195" -2.06 248.44 850.12 533.42 1
"196" -2.05 239.78 841.21 534.44 1
"197" -2.04 259.22 849 535.46 1
"198" -2.03 268.74 855.51 536.49 1
"199" -2.02 256.48 865.31 537.52 1
"200" -2.01 256.77 861.73 538.54 1
"201" -2 237.74 853.12 539.57 1
"202" -1.99 267.63 858.69 540.6 1
"203" -1.98 263.98 863.03 541.63 1
"204" -1.97 266.62 871.5 542.66 1
"205" -1.96 255.29 858.7 543.69 1
"206" -1.95 253.11 852.71 544.72 1
"207" -1.94 266.21 858.08 545.75 1
"208" -1.93 267.14 863.88 546.79 1
"209" -1.92 258.03 879.7 547.82 1
"210" -1.91 251.67 869.01 548.86 1
"211" -1.9 276.75 869.76 549.89 1
"212" -1.89 268.15 878.21 550.93 1
"213" -1.88 267.52 875.33 551.96 1
"214" -1.87 267.44 879.21 553 1
"215" -1.86 265.39 874.68 554.04 1
"216" -1.85 265.33 878.35 555.08 1
"217" -1.84 269.46 875.86 556.12 1
"218" -1.83 282.69 872.26 557.16 1
"219" -1.82 270.22 878.67 558.2 1
"220" -1.81 261.55 881.17 559.25 1
"221" -1.8 271.95 874.64 560.29 1
"222" -1.79 271.86 879.72 561.33 1
"223" -1.78 279.2 882.14 562.38 1
"224" -1.77 274.71 878.07 563.43 1
"225" -1.76 265.18 882.21 564.47 1
"226" -1.75 265.55 889.04 565.52 1
"227" -1.74 283.21 892.23 566.57 1
"228" -1.73 282.37 893.01 567.62 1
"229" -1.72 273.29 900.46 568.67 1
"230" -1.71 283.43 900.79 569.72 1
"231" -1.7 291.76 890.66 570.77 1
"232" -1.69 287 890.41 571.82 1
"233" -1.68 277.83 892.08 572.87 1
"234" -1.67 283.13 895.48 573.93 1
"235" -1.66 295.51 907.35 574.98 1
"236" -1.65 288.99 900.63 576.04 1
"237" -1.64 296.46 894.59 577.09 1
"238" -1.63 296.21 909.77 578.15 1
"239" -1.62 289.89 905.53 579.21 1
"240" -1.61 279.43 893.89 580.27 1
"241" -1.6 288.44 897.8 581.33 1
"242" -1.59 295.5 895.62 582.39 1
"243" -1.58 298.49 914.13 583.45 1
"244" -1.57 283.28 890.71 584.51 1
"245" -1.56 270.1 910.77 585.57 1
"246" -1.55 304.24 915.03 586.63 1
"247" -1.54 293.97 913.2 587.7 1
"248" -1.53 271.78 913.39 588.76 1
"249" -1.52 288.02 914.45 589.83 1
"250" -1.51 292.82 910.6 590.89 1
"251" -1.5 290.18 913.08 591.96 1
"252" -1.49 289.14 913.34 593.03 1
"253" -1.48 300.12 920.78 594.1 1
"254" -1.47 291.38 916.56 595.17 1
"255" -1.46 288.64 917.42 596.24 1
"256" -1.45 302.79 919.96 597.31 1
"257" -1.44 310.61 924.17 598.38 1
"258" -1.43 307.24 921.29 599.45 1
"259" -1.42 296.59 918.66 600.52 1
"260" -1.41 307.87 923.03 601.6 1
"261" -1.4 307 926.59 602.67 1
"262" -1.39 312.06 919.68 603.75 1
"263" -1.38 320.99 924.96 604.82 1
"264" -1.37 307.08 938.99 605.9 1
"265" -1.36 311.99 920.46 606.98 1
"266" -1.35 309.1 933.55 608.06 1
"267" -1.34 305.04 933.42 609.14 1
"268" -1.33 309.43 930.87 610.22 1
"269" -1.32 307.01 938.81 611.3 1
"270" -1.31 310.97 936.34 612.38 1
"271" -1.3 299.67 941.1 613.46 1
"272" -1.29 312.22 939.62 614.55 1
"273" -1.28 307.31 930.79 615.63 1
"274" -1.27 298.57 937.9 616.71 1
"275" -1.26 315.4 936.8 617.8 1
"276" -1.25 324.29 943.51 618.89 1
"277" -1.24 319.33 949.74 619.97 1
"278" -1.23 325.87 939.7 621.06 1
"279" -1.22 322.81 948.02 622.15 1
"280" -1.21 330.02 945.56 623.24 1
"281" -1.2 327.36 957.04 624.33 1
"282" -1.19 332.28 955.47 625.42 1
"283" -1.18 334.33 952.9 626.51 1
