X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.303000E+01   0.303000E+01   0.188200E+04   0.188200E+04   0.192966E+04  -0.476586E+02  -0.286531E+00
   0.302000E+01   0.302000E+01   0.184500E+04   0.184500E+04   0.192296E+04  -0.779561E+02  -0.471666E+00
   0.313000E+01   0.313000E+01   0.196200E+04   0.196200E+04   0.199724E+04  -0.352434E+02  -0.208861E+00
   0.285000E+01   0.285000E+01   0.163100E+04   0.163100E+04   0.181058E+04  -0.179578E+03  -0.112695E+01
   0.408000E+01   0.408000E+01   0.278300E+04   0.278300E+04   0.268933E+04   0.936660E+02   0.476635E+00
   0.409000E+01   0.409000E+01   0.261500E+04   0.261500E+04   0.269709E+04  -0.820940E+02  -0.430552E+00
   0.199000E+01   0.199000E+01   0.126400E+04   0.126400E+04   0.128808E+04  -0.240841E+02  -0.160799E+00
   0.218000E+01   0.218000E+01   0.136600E+04   0.136600E+04   0.139682E+04  -0.308159E+02  -0.202462E+00
   0.137000E+01   0.137000E+01   0.938000E+03   0.938000E+03   0.960427E+03  -0.224268E+02  -0.156825E+00
   0.123000E+01   0.123000E+01   0.878000E+03   0.878000E+03   0.892301E+03  -0.143012E+02  -0.100775E+00
   0.277000E+01   0.277000E+01   0.168800E+04   0.168800E+04   0.175872E+04  -0.707197E+02  -0.439986E+00
   0.293000E+01   0.293000E+01   0.186400E+04   0.186400E+04   0.186309E+04   0.906881E+00   0.547286E-02
   0.430000E+01   0.430000E+01   0.290500E+04   0.290500E+04   0.286231E+04   0.426933E+02   0.212262E+00
   0.436000E+01   0.436000E+01   0.286800E+04   0.286800E+04   0.291030E+04  -0.422974E+02  -0.211621E+00
   0.610000E+01   0.610000E+01   0.446000E+04   0.446000E+04   0.445089E+04   0.911042E+01   0.344253E-01
   0.226000E+01   0.226000E+01   0.141600E+04   0.141600E+04   0.144375E+04  -0.277464E+02  -0.180838E+00
   0.402000E+01   0.402000E+01   0.287500E+04   0.287500E+04   0.264298E+04   0.232021E+03   0.116167E+01
   0.409000E+01   0.409000E+01   0.267000E+04   0.267000E+04   0.269709E+04  -0.270940E+02  -0.140699E+00
   0.559000E+01   0.559000E+01   0.401900E+04   0.401900E+04   0.396992E+04   0.490800E+02   0.199707E+00
   0.567000E+01   0.567000E+01   0.413300E+04   0.413300E+04   0.404377E+04   0.892260E+02   0.356148E+00
   0.657000E+01   0.657000E+01   0.496200E+04   0.496200E+04   0.491528E+04   0.467210E+02   0.163015E+00
   0.666000E+01   0.666000E+01   0.507200E+04   0.507200E+04   0.500650E+04   0.655039E+02   0.224733E+00
   0.544000E+01   0.544000E+01   0.396000E+04   0.396000E+04   0.383305E+04   0.126949E+03   0.522027E+00
   0.618000E+01   0.618000E+01   0.462600E+04   0.462600E+04   0.452851E+04   0.974899E+02   0.358735E+00
   0.740000E+01   0.740000E+01   0.589700E+04   0.589700E+04   0.578412E+04   0.112879E+03   0.343388E+00
   0.164000E+01   0.164000E+01   0.104700E+04   0.104700E+04   0.109795E+04  -0.509539E+02  -0.351029E+00
   0.199000E+01   0.199000E+01   0.126300E+04   0.126300E+04   0.128808E+04  -0.250841E+02  -0.167499E+00
   0.156000E+01   0.156000E+01   0.106800E+04   0.106800E+04   0.105637E+04   0.116324E+02   0.799722E-01
   0.146000E+01   0.146000E+01   0.944000E+03   0.944000E+03   0.100537E+04  -0.613747E+02  -0.428614E+00
   0.398000E+01   0.398000E+01   0.264100E+04   0.264100E+04   0.261227E+04   0.287280E+02   0.150067E+00
   0.415000E+01   0.415000E+01   0.287100E+04   0.287100E+04   0.274386E+04   0.127141E+03   0.636545E+00
   0.396000E+01   0.396000E+01   0.268600E+04   0.268600E+04   0.259698E+04   0.890228E+02   0.364092E+00
   0.398000E+01   0.398000E+01   0.274500E+04   0.274500E+04   0.261227E+04   0.132728E+03   0.534799E+00
   0.400000E+01   0.400000E+01   0.273900E+04   0.273900E+04   0.262761E+04   0.111394E+03   0.449481E+00
   0.594000E+01   0.594000E+01   0.441100E+04   0.441100E+04   0.429741E+04   0.113588E+03   0.315451E+00
   0.333000E+01   0.333000E+01   0.215600E+04   0.215600E+04   0.213545E+04   0.205466E+02   0.967741E-01
   0.320000E+01   0.320000E+01   0.208200E+04   0.208200E+04   0.204516E+04   0.368431E+02   0.177137E+00
   0.530000E+00   0.530000E+00   0.413000E+03   0.413000E+03   0.585137E+03  -0.172137E+03  -0.126686E+01
   0.380000E+00   0.380000E+00   0.395000E+03   0.395000E+03   0.526757E+03  -0.131757E+03  -0.971509E+00
   0.811000E+01   0.811000E+01   0.683800E+04   0.683800E+04   0.658592E+04   0.252083E+03   0.472499E+00
   0.309000E+01   0.309000E+01   0.196400E+04   0.196400E+04   0.197009E+04  -0.608748E+01  -0.302372E-01
   0.555000E+01   0.555000E+01   0.390000E+04   0.390000E+04   0.393322E+04  -0.332164E+02  -0.102240E+00
   0.650000E+00   0.650000E+00   0.560000E+03   0.560000E+03   0.633762E+03  -0.737621E+02  -0.523836E+00
   0.800000E+00   0.800000E+00   0.650000E+03   0.650000E+03   0.696915E+03  -0.469153E+02  -0.327859E+00
   0.500000E+00   0.500000E+00   0.470000E+03   0.470000E+03   0.573247E+03  -0.103247E+03  -0.743729E+00
   0.490000E+01   0.490000E+01   0.331000E+04   0.331000E+04   0.335781E+04  -0.478105E+02  -0.167700E+00
   0.492000E+01   0.492000E+01   0.332000E+04   0.332000E+04   0.337492E+04  -0.549205E+02  -0.192187E+00
   0.495000E+01   0.495000E+01   0.342000E+04   0.342000E+04   0.340066E+04   0.193433E+02   0.661646E-01
   0.500000E+01   0.500000E+01   0.348000E+04   0.348000E+04   0.344374E+04   0.362597E+02   0.122354E+00
   0.218000E+01   0.218000E+01   0.136000E+04   0.136000E+04   0.139682E+04  -0.368159E+02  -0.216542E+00
   0.139000E+01   0.139000E+01   0.928000E+03   0.928000E+03   0.970337E+03  -0.423375E+02  -0.304662E+00
   0.373000E+01   0.373000E+01   0.243700E+04   0.243700E+04   0.242392E+04   0.130821E+02   0.805534E-01
   0.640000E+01   0.640000E+01   0.465700E+04   0.465700E+04   0.474498E+04  -0.879844E+02  -0.405614E+00
   0.640000E+01   0.640000E+01   0.474800E+04   0.474800E+04   0.474498E+04   0.301561E+01   0.785751E-02
   0.720000E+01   0.720000E+01   0.540700E+04   0.540700E+04   0.556912E+04  -0.162121E+03  -0.680228E+00
   0.720000E+01   0.720000E+01   0.543500E+04   0.543500E+04   0.556912E+04  -0.134121E+03  -0.310031E+00
   0.685000E+01   0.685000E+01   0.550200E+04   0.550200E+04   0.520147E+04   0.300531E+03   0.124954E+01
   0.740000E+01   0.740000E+01   0.593000E+04   0.593000E+04   0.578412E+04   0.145879E+03   0.575746E+00
   0.770000E+01   0.770000E+01   0.627800E+04   0.627800E+04   0.611328E+04   0.164725E+03   0.334144E+00
   0.772000E+01   0.772000E+01   0.642300E+04   0.642300E+04   0.613550E+04   0.287499E+03   0.571129E+00
   0.785000E+01   0.785000E+01   0.614800E+04   0.614800E+04   0.628089E+04  -0.132892E+03  -0.510626E+00
   0.786000E+01   0.786000E+01   0.618700E+04   0.618700E+04   0.629223E+04  -0.105231E+03  -0.216270E+00
   0.964000E+01   0.964000E+01   0.930200E+04   0.930200E+04   0.866133E+04   0.640670E+03   0.130981E+01
   0.972000E+01   0.972000E+01   0.955500E+04   0.955500E+04   0.878106E+04   0.773937E+03   0.154400E+01
   0.990000E+01   0.990000E+01   0.957800E+04   0.957800E+04   0.905423E+04   0.523774E+03   0.713285E+00
   0.984000E+01   0.984000E+01   0.923300E+04   0.923300E+04   0.896260E+04   0.270403E+03   0.381399E+00
   0.717000E+01   0.717000E+01   0.595000E+04   0.595000E+04   0.553718E+04   0.412822E+03   0.879922E+00
   0.735000E+01   0.735000E+01   0.609300E+04   0.609300E+04   0.573004E+04   0.362963E+03   0.140681E+01
   0.765000E+01   0.765000E+01   0.617800E+04   0.617800E+04   0.605786E+04   0.120137E+03   0.247306E+00
   0.105000E+02   0.105000E+02   0.110290E+05   0.110290E+05   0.100015E+05   0.102751E+04   0.179438E+01
   0.103800E+02   0.103800E+02   0.108830E+05   0.108830E+05   0.980760E+04   0.107540E+04   0.190173E+01
   0.325000E+01   0.325000E+01   0.197400E+04   0.197400E+04   0.216642E+04  -0.192422E+03  -0.124933E+01
   0.328000E+01   0.328000E+01   0.197400E+04   0.197400E+04   0.218763E+04  -0.213634E+03  -0.105661E+01
   0.329000E+01   0.329000E+01   0.212800E+04   0.212800E+04   0.219473E+04  -0.667253E+02  -0.426182E+00
   0.331000E+01   0.331000E+01   0.222000E+04   0.222000E+04   0.220894E+04   0.110630E+02   0.744956E-01
   0.501000E+01   0.501000E+01   0.357000E+04   0.357000E+04   0.356040E+04   0.960220E+01   0.510463E-01
   0.500000E+01   0.500000E+01   0.353200E+04   0.353200E+04   0.355164E+04  -0.196353E+02  -0.104882E+00
   0.500000E+01   0.500000E+01   0.353200E+04   0.353200E+04   0.355164E+04  -0.196353E+02  -0.118269E+00
   0.355000E+01   0.355000E+01   0.242900E+04   0.242900E+04   0.238260E+04   0.464048E+02   0.307574E+00
   0.357000E+01   0.357000E+01   0.242100E+04   0.242100E+04   0.239733E+04   0.236745E+02   0.156970E+00
