"b1_10"     "a1"     "c1"     "b2_10"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_9"     "k2_9"     "ktype1_9"     "ktype2_9"
-2.35544     121.884     1.64417     1.59479     181.372     1.68949     0.972698     0.00180888     -1374.16     -2.35544     1.59479     0     0
-2.27165     121.347     1.63805     1.25783     180.381     1.66192     1.57864     0.00167948     -1371.07     -2.27165     1.25783     0     0
-2.2616     122.094     1.63805     1.22206     158.127     1.68033     1.87617     0.00893474     -1368.82     -2.2616     1.22206     0     0
-2.03424     125.621     1.63986     1.08957     158.127     1.65866     0.857761     0.00221918     -1365.39     -2.03424     1.08957     0     0
-2.13611     126.267     1.63986     1.45171     158.127     1.68451     0.857761     0.0105847     -1371.02     -2.13611     1.45171     0     0
-2.13611     126.904     1.64318     1.11263     160.342     1.66796     3.3102     0.00648715     -1370.75     -2.13611     1.11263     0     0
-2.12297     126.591     1.6557     1.46176     171.915     1.69012     0.3615     0.00564131     -1368.17     -2.12297     1.46176     0     0
-2.06725     125.929     1.65578     1.22714     168.457     1.67125     2.9025     0.008354     -1364.76     -2.06725     1.22714     0     0
-2.17301     124.964     1.65578     1.31724     171.246     1.67125     4.8923     0.000160498     -1361.21     -2.17301     1.31724     0     0
-2.14319     125.071     1.65957     1.41995     159.676     1.67271     0.0245604     0.0148692     -1367.5     -2.14319     1.41995     0     0
-2.16207     124.772     1.6611     1.31968     159.258     1.66932     3.56971     0.00554243     -1368.8     -2.16207     1.31968     0     0
-2.09931     123.771     1.66456     1.22367     160.07     1.66095     5.78969     0.00248068     -1365.04     -2.09931     1.22367     0     0
-2.09931     123.13     1.6664     1.42985     167.208     1.65675     1.06931     0.00421831     -1368.27     -2.09931     1.42985     0     0
-2.09931     122.82     1.66738     1.22738     159.441     1.64564     4.39327     0.0050941     -1371.16     -2.09931     1.22738     0     0
-2.15536     122.82     1.64713     1.29977     175.231     1.65541     1.70641     0.00351376     -1368.26     -2.15536     1.29977     0     0
-2.23428     123.484     1.64555     1.26959     163.025     1.6693     4.66292     4.92881e-05     -1369.63     -2.23428     1.26959     0     0
-2.13322     124.507     1.64117     1.30413     166.539     1.67858     10.3376     4.92881e-05     -1368.33     -2.13322     1.30413     0     0
-2.13322     121.795     1.65462     1.3086     178.472     1.64024     3.09953     0.00193369     -1366.56     -2.13322     1.3086     0     0
-2.31812     122.138     1.65462     1.57277     184.792     1.67011     3.84783     0.00290916     -1371.19     -2.31812     1.57277     0     0
-2.1934     122.045     1.64834     1.4003     181.794     1.63982     0.941167     0.000638773     -1368.14     -2.1934     1.4003     0     0
-2.19123     120.525     1.65932     1.427     183.951     1.67715     4.54445     0.000638773     -1367.65     -2.19123     1.427     0     0
-2.25776     119.408     1.66779     1.43426     180.235     1.67715     0.497235     0.00202591     -1360.89     -2.25776     1.43426     0     0
-2.30996     118.096     1.66917     1.40049     195.269     1.64134     0.571382     0.00202591     -1366.41     -2.30996     1.40049     0     0
-2.30996     118.096     1.66581     1.5804     195.269     1.60146     4.36374     0.00053073     -1368.45     -2.30996     1.5804     0     0
-2.34901     117.857     1.66581     1.40442     191.681     1.60146     0.292408     0.00610412     -1371.5     -2.34901     1.40442     0     0
-2.32584     116.546     1.66494     1.40016     181.985     1.63354     2.51516     0.000172377     -1365.99     -2.32584     1.40016     0     0
-2.10916     117.277     1.66494     1.40031     185.679     1.645     0.216856     0.00356331     -1368.16     -2.10916     1.40031     0     0
-2.12755     117.061     1.66602     1.06947     187.078     1.62357     0.216856     0.00111803     -1370.08     -2.12755     1.06947     0     0
-2.12755     116.639     1.66894     1.18412     169.238     1.69524     1.04649     0.00244922     -1371.02     -2.12755     1.18412     0     0
-2.28188     118.056     1.66894     1.21641     174.665     1.67191     0.333479     0.00563058     -1367.47     -2.28188     1.21641     0     0
-2.25768     117.531     1.6758     1.33452     178.286     1.67191     0.333479     0.00577462     -1364.02     -2.25768     1.33452     0     0
-2.27708     117.531     1.67629     1.29711     178.286     1.65738     6.49847     0.000120282     -1366.67     -2.27708     1.29711     0     0
-2.05465     118.423     1.6649     1.10589     177.504     1.67687     5.45533     0.000120282     -1364.41     -2.05465     1.10589     0     0
-2.2147     119.629     1.6649     1.16644     172.029     1.65158     1.33457     0.00135093     -1366.2     -2.2147     1.16644     0     0
-2.08961     119.128     1.66368     1.11305     189.032     1.63565     2.28626     0.00994956     -1368.23     -2.08961     1.11305     0     0
-2.10499     120.159     1.66021     1.37403     186.15     1.64107     3.07223     0.001559     -1365.29     -2.10499     1.37403     0     0
-2.19096     119.984     1.66379     1.48831     177.329     1.64037     0.52499     0.0043129     -1362.93     -2.19096     1.48831     0     0
