"b1_1"     "a1"     "c1"     "b2_1"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-0.483533     180.549     1.60458     0.674043     196.6     1.67193     9.36978     75.3827     1.67419     76.372     0.0028411     -1965.53     -1.57792     6.85037     9.36978     0     3     0
-0.545238     181.128     1.60458     0.375957     196.869     1.67193     9.33285     85.7215     1.67499     77.377     0.00198985     -1960.24     -1.57399     7.87507     9.33285     0     3     0
-0.546474     180.659     1.60625     0.520241     197.22     1.67611     9.16711     31.4502     1.68138     91.8824     0.00388863     -1973.65     -1.63663     8.08243     9.16711     0     3     0
-0.49897     181.275     1.60736     -0.0185979     198.516     1.67662     9.4384     58.1026     1.70853     69.3208     0.00502545     -1971.85     -1.53532     9.13012     9.4384     0     3     0
-0.561434     180.892     1.60784     -0.106352     197.784     1.67404     9.50779     41.2514     1.64158     68.7596     0.00820879     -1964.57     -1.49212     9.19116     9.50779     0     3     0
-0.355854     183.474     1.60594     0.165551     195.924     1.68078     9.59763     66.9511     1.69593     78.9442     0.00407474     -1964.33     -1.47626     8.97639     9.59763     0     3     0
-0.345336     182.624     1.60916     -0.156559     194.959     1.6902     9.59969     86.2554     1.64341     77.4989     0.00150524     -1967.85     -1.41322     7.38382     9.59969     0     3     0
-0.467512     183.153     1.60772     0.780384     194.916     1.69403     9.71393     52.2145     1.66457     77.3858     0.00150524     -1964.23     -1.40584     9.14058     9.71393     0     3     0
-0.497284     181.926     1.60298     0.155892     194.618     1.69596     9.90324     71.3163     1.65203     78.5672     0.00397714     -1967.32     -1.51866     8.94375     9.90324     0     3     0
-0.511551     181.092     1.60712     -0.0713921     191.068     1.69578     9.93472     66.7844     1.67307     75.2732     0.00545132     -1970.01     -1.55909     6.43558     9.93472     0     3     0
-0.447277     181.119     1.60928     0.462673     191.789     1.69909     9.93472     95.5787     1.67633     74.128     0.000983697     -1969.29     -1.42677     9.56946     9.93472     0     3     0
-0.398546     180.401     1.61135     0.512096     191.203     1.69792     9.94979     86.5147     1.67894     79.409     0.000983697     -1967.05     -1.56717     9.93623     9.94979     0     3     0
-0.356617     180.611     1.61168     1.06668     194.836     1.69215     9.81954     132.488     1.63535     76.1142     0.00197176     -1968.21     -1.56009     9.78049     9.81954     0     3     0
-0.356617     180.166     1.61165     0.701033     196.87     1.69071     9.81954     51.9967     1.70124     80.2804     0.00281109     -1971.03     -1.44112     7.31388     9.81954     0     3     0
-0.397428     180.803     1.61262     0.094045     201.619     1.68813     9.53198     69.1369     1.67762     77.0085     0.00165452     -1966.65     -1.52867     8.11371     9.53198     0     3     0
-0.43435     180.964     1.60987     0.949723     201.172     1.69374     9.63203     62.0326     1.67166     80.6086     0.00246292     -1967.72     -1.52334     7.24628     9.63203     0     3     0
-0.508387     180.224     1.61307     0.0434823     200.987     1.69464     9.53865     34.6833     1.6869     86.0482     0.00254656     -1966.42     -1.52507     6.8316     9.53865     0     3     0
-0.558461     180.11     1.61431     0.158761     201.779     1.69464     9.47502     43.1198     1.64616     75.2393     0.00270807     -1959.67     -1.48963     7.54787     9.47502     0     3     0
-0.50525     178.684     1.61431     -0.10005     201.779     1.69555     9.51008     52.34     1.67767     79.2375     0.00198946     -1964.16     -1.60663     8.63429     9.51008     0     3     0
-0.10579     180.264     1.61246     -0.0717452     201.687     1.69592     9.65841     117.805     1.65272     85.8821     0.00198946     -1967.25     -1.52885     8.44584     9.65841     0     3     0
-0.37145     179.428     1.61281     1.14786     201.599     1.69283     9.56906     117.982     1.65167     73.1868     0.00529745     -1974.39     -1.57528     7.93062     9.56906     0     3     0
-0.1833     179.853     1.61281     0.880816     201.436     1.68852     9.60614     77.7377     1.65467     82.0893     0.00254954     -1967.85     -1.59494     7.5321     9.60614     0     3     0
-0.49741     179.848     1.61279     0.399311     201.846     1.68852     9.56163     60.0851     1.69536     87.0474     0.000953842     -1966     -1.45013     7.77961     9.56163     0     3     0
-0.621736     180.336     1.60989     0.892554     202.537     1.68646     9.65962     74.6893     1.68042     86.9133     0.000953842     -1965.23     -1.5621     5.9403     9.65962     0     3     0
-0.537437     179.487     1.61049     0.590291     203.042     1.68663     9.47587     80.3856     1.66453     78.1247     0.000953842     -1961.79     -1.50689     9.38594     9.47587     0     3     0
-0.53427     180.304     1.61012     0.781297     202.606     1.68912     9.48066     48.2594     1.65913     83.4339     0.000554641     -1962     -1.59597     7.7259     9.48066     0     3     0
-0.592212     179.461     1.60771     0.90579     203.404     1.68654     9.50215     73.3557     1.66894     77.2749     0.00141213     -1963.97     -1.51445     7.31775     9.50215     0     3     0
-0.393443     179.577     1.60807     0.971191     206.765     1.68325     9.59624     55.617     1.67947     77.7127     0.000526405     -1960.83     -1.55618     7.01376     9.59624     0     3     0
-0.531701     179.577     1.61094     1.06555     207.13     1.68116     9.6226     60.4342     1.64613     86.5555     0.000161763     -1962.61     -1.63941     6.89793     9.6226     0     3     0
-0.739467     180.328     1.61135     0.142583     207.159     1.68463     9.47525     37.1285     1.66695     85.9574     0.00527926     -1962.92     -1.52493     8.07669     9.47525     0     3     0
-0.352623     180.443     1.61135     0.519967     204.674     1.68803     9.58296     44.3366     1.64413     80.363     0.00442479     -1965.93     -1.51046     5.55202     9.58296     0     3     0
-0.427706     180.89     1.60823     0.587117     203.839     1.68803     9.54255     54.3229     1.65764     72.0614     0.00240595     -1964.87     -1.57903     5.82454     9.54255     0     3     0
-0.482635     180.925     1.60429     -0.0493134     203.24     1.68643     9.55975     83.2237     1.678     80.7989     0.00319013     -1957.87     -1.51684     8.40889     9.55975     0     3     0
-0.13292     181.107     1.60429     -0.0493134     202.751     1.68399     9.51104     96.1919     1.65852     84.2845     0.000891488     -1960.9     -1.4431     7.82151     9.51104     0     3     0
-0.551567     183.017     1.59925     0.287485     203.264     1.68426     9.57871     95.229     1.65852     85.9961     0.00131617     -1963.58     -1.51745     8.43343     9.57871     0     3     0
-0.154214     182.494     1.60015     -0.00540034     204.735     1.68239     9.51593     96.1973     1.69007     73.9984     0.00102751     -1960.74     -1.52468     8.68374     9.51593     0     3     0
-0.465761     182.704     1.60094     0.397052     205.529     1.68276     9.59655     96.1859     1.68816     80.9314     0.0026015     -1959.84     -1.52468     9.51929     9.59655     0     3     0
-0.616681     182.933     1.60397     0.996257     204.906     1.68718     9.50538     67.9411     1.65911     78.9348     0.00190574     -1964.63     -1.46854     7.71098     9.50538     0     3     0
-0.464927     183.466     1.605     0.573885     205.044     1.68945     9.7053     74.3746     1.68086     77.5621     0.00652144     -1970.43     -1.50246     8.50167     9.7053     0     3     0
-0.448381     183.205     1.60369     1.12385     206.518     1.68482     9.66277     60.6402     1.66541     75.2294     0.006199     -1962.51     -1.48553     6.64222     9.66277     0     3     0
-0.476986     182.383     1.60369     0.530477     207.625     1.68614     9.59825     69.6944     1.64579     68.5883     0.00473021     -1962.97     -1.46367     6.46153     9.59825     0     3     0
