"h" "inf" "sup" "maxpost" "period"
"147" -2.54 112.69 827.63 434.62 1
"148" -2.53 124.34 823.69 435.75 1
"149" -2.52 113.55 816.85 436.88 1
"150" -2.51 106.53 840.06 438.01 1
"151" -2.5 126.19 825.05 439.14 1
"152" -2.49 114.99 807.44 440.27 1
"153" -2.48 131.24 834.2 441.4 1
"154" -2.47 110.31 816.76 442.54 1
"155" -2.46 110.16 835.98 443.67 1
"156" -2.45 126.5 827.05 444.81 1
"157" -2.44 127.85 840.17 445.94 1
"158" -2.43 125.14 825.7 447.08 1
"159" -2.42 114.96 836.54 448.22 1
"160" -2.41 142.12 837.66 449.36 1
"161" -2.4 128.34 840.55 450.51 1
"162" -2.39 109.23 851.58 451.65 1
"163" -2.38 131.44 844.04 452.79 1
"164" -2.37 139.9 847.33 453.94 1
"165" -2.36 134.2 852.9 455.08 1
"166" -2.35 137.03 858.21 456.23 1
"167" -2.34 120.53 844.61 457.38 1
"168" -2.33 133.2 850.96 458.53 1
"169" -2.32 137.2 842.49 459.68 1
"170" -2.31 138.54 848.19 460.84 1
"171" -2.3 147.3 846.01 461.99 1
"172" -2.29 141.19 864.35 463.14 1
"173" -2.28 141.94 855.1 464.3 1
"174" -2.27 131.17 862.05 465.46 1
"175" -2.26 139.52 859.27 466.62 1
"176" -2.25 155.22 865.87 467.77 1
"177" -2.24 140.38 855.4 468.94 1
"178" -2.23 152.73 872.44 470.1 1
"179" -2.22 143.57 857.74 471.26 1
"180" -2.21 143.25 847.99 472.42 1
"181" -2.2 150.97 867.29 473.59 1
"182" -2.19 148.62 868.36 474.76 1
"183" -2.18 160.55 878.88 475.92 1
"184" -2.17 154.92 870.79 477.09 1
"185" -2.16 148.25 875.27 478.26 1
"186" -2.15 162.96 871.53 479.43 1
"187" -2.14 160.96 888.05 480.6 1
"188" -2.13 139.43 871.72 481.78 1
"189" -2.12 153.09 883 482.95 1
"190" -2.11 155.88 859 484.13 1
"191" -2.1 157.61 881.76 485.3 1
"192" -2.09 157.89 872.05 486.48 1
"193" -2.08 153.24 876.65 487.66 1
"194" -2.07 169.8 885.5 488.84 1
"195" -2.06 164.04 880.01 490.02 1
"196" -2.05 172.53 884.14 491.2 1
"197" -2.04 167.7 898.38 492.39 1
"198" -2.03 155.4 873.78 493.57 1
"199" -2.02 174.04 885.82 494.76 1
"200" -2.01 167.22 893.15 495.95 1
"201" -2 169.8 887.99 497.13 1
"202" -1.99 166.65 875.32 498.32 1
"203" -1.98 169.12 893.07 499.51 1
"204" -1.97 166.76 887.13 500.7 1
"205" -1.96 190.36 907.22 501.9 1
"206" -1.95 156.58 895.11 503.09 1
"207" -1.94 179.95 904.86 504.29 1
"208" -1.93 180.16 892.83 505.48 1
"209" -1.92 172.03 909.77 506.68 1
"210" -1.91 189.03 891.11 507.88 1
"211" -1.9 163.01 911.79 509.08 1
"212" -1.89 188.6 894.22 510.28 1
"213" -1.88 167.75 903.22 511.48 1
"214" -1.87 173.26 899.44 512.68 1
"215" -1.86 192.65 891.51 513.89 1
"216" -1.85 182.72 903.74 515.09 1
"217" -1.84 194.35 912.6 516.3 1
"218" -1.83 165.69 910.59 517.51 1
"219" -1.82 196.97 911.5 518.71 1
"220" -1.81 171.11 922.5 519.92 1
"221" -1.8 186.07 903.17 521.14 1
"222" -1.79 194.7 901.22 522.35 1
"223" -1.78 197.23 922.14 523.56 1
"224" -1.77 185.84 919.28 524.77 1
"225" -1.76 190.17 933.32 525.99 1
"226" -1.75 192.6 921.52 527.21 1
"227" -1.74 201.05 916.52 528.42 1
"228" -1.73 185.91 932.76 529.64 1
"229" -1.72 181.71 923.53 530.86 1
"230" -1.71 198.83 916.08 532.08 1
"231" -1.7 200.36 928.7 533.31 1
"232" -1.69 159.25 931.45 534.53 1
"233" -1.68 184.94 912.83 535.75 1
"234" -1.67 201.27 928.36 536.98 1
"235" -1.66 191.56 929.89 538.21 1
"236" -1.65 195.27 923.42 539.43 1
"237" -1.64 217.76 932.77 540.66 1
"238" -1.63 191.51 919.4 541.89 1
"239" -1.62 203.85 931.8 543.12 1
"240" -1.61 227.16 947.82 544.36 1
"241" -1.6 204.13 950.67 545.59 1
"242" -1.59 190.46 942.65 546.82 1
"243" -1.58 200.15 941.09 548.06 1
"244" -1.57 218.22 952.11 549.3 1
"245" -1.56 209.62 947.95 550.53 1
"246" -1.55 202.46 954.78 551.77 1
"247" -1.54 216.92 955.47 553.01 1
"248" -1.53 203.28 942.24 554.25 1
"249" -1.52 210.22 935.88 555.5 1
"250" -1.51 237.98 950.41 556.74 1
"251" -1.5 211.78 946.04 557.98 1
"252" -1.49 201.34 954.9 559.23 1
"253" -1.48 212.02 946.24 560.48 1
"254" -1.47 200.65 940.66 561.72 1
"255" -1.46 217.24 974.22 562.97 1
"256" -1.45 227.14 966.21 564.22 1
"257" -1.44 225.03 976.42 565.48 1
"258" -1.43 227.13 950.39 566.73 1
"259" -1.42 212.44 955.98 567.98 1
"260" -1.41 218.49 963.01 569.24 1
"261" -1.4 215.5 966.32 570.49 1
"262" -1.39 214.39 967.4 571.75 1
"263" -1.38 229.27 969.79 573.01 1
"264" -1.37 232.05 972.78 574.27 1
"265" -1.36 227.63 970.96 575.53 1
"266" -1.35 229.76 975.69 576.79 1
"267" -1.34 250.79 981.54 578.05 1
"268" -1.33 231.46 962.73 579.31 1
"269" -1.32 234.17 990.65 580.58 1
