"b1_7"     "a1"     "c1"     "b2_7"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_7"     "k2_7"     "ktype1_7"     "ktype2_7"
-2.58386     114.86     1.67288     0.872021     169.58     1.65452     1.24818     0.00227433     -1364.82     -2.42953     0.937803     0     0
-2.57647     114.86     1.68089     1.10189     187.781     1.65433     3.28094     0.00135175     -1361.75     -2.42777     1.07234     0     0
-2.61531     114.536     1.69948     1.17697     153.036     1.65119     6.15653     0.000436665     -1369.43     -2.41298     1.03523     0     0
-2.77953     114.771     1.70434     1.13669     159.113     1.65119     4.16271     0.00037055     -1369.08     -2.40711     1.00765     0     0
-2.45649     114.482     1.70434     1.0112     162.29     1.70022     1.63896     0.00194133     -1370.38     -2.3794     1.00361     0     0
-2.68958     115.144     1.7151     1.14752     146.774     1.70022     2.37007     0.00225335     -1372.23     -2.38692     1.02567     0     0
-2.47747     115.348     1.70494     0.898527     149.288     1.68473     1.16721     0.00225335     -1367.07     -2.37584     0.969879     0     0
-2.63365     116.29     1.68756     0.727375     153.417     1.68473     2.9901     0.00547038     -1368.02     -2.37618     0.879494     0     0
-2.5512     118.308     1.68843     0.955101     155.581     1.67963     7.69583     0.00127736     -1364.42     -2.37618     0.983924     0     0
-2.59452     118.308     1.69247     0.92474     169.1     1.67499     14.3252     0.00141794     -1369.32     -2.35673     1.10396     0     0
-2.48449     118.554     1.68937     1.2498     156.344     1.63953     2.59268     0.000571159     -1370.98     -2.3602     1.01888     0     0
-2.56966     118.053     1.68884     0.790711     157.196     1.7103     2.59268     0.0039139     -1369.57     -2.3602     1.03847     0     0
-2.57991     118.38     1.6873     1.05399     161.361     1.7016     1.00456     0.0100854     -1370.2     -2.34723     1.02748     0     0
-2.47488     118.053     1.69476     0.991041     173.282     1.62627     1.00456     0.00544629     -1366.1     -2.36177     1.11232     0     0
-2.35891     116.736     1.70339     0.993015     173.899     1.61834     7.06446     0.00429676     -1369     -2.37245     1.13501     0     0
-2.56316     117.852     1.70035     1.10375     185.642     1.62995     4.19917     0.00134241     -1366.87     -2.37383     1.26424     0     0
-2.64586     117.852     1.69655     1.31265     183.274     1.62241     1.50188     0.00338196     -1367.07     -2.3596     1.19301     0     0
-2.71461     118.353     1.69655     1.25879     172.163     1.60385     1.8468     0.00770228     -1369.36     -2.36432     1.18873     0     0
-2.56301     117.04     1.69322     1.48292     175.731     1.65658     5.92672     0.00127919     -1370.43     -2.36432     1.16499     0     0
