X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.254000E+01   0.254000E+01   0.329100E+04   0.329100E+04   0.255904E+04   0.731963E+03   0.177922E+01
   0.257000E+01   0.257000E+01   0.343900E+04   0.343900E+04   0.259149E+04   0.847505E+03   0.197142E+01
   0.142000E+01   0.142000E+01   0.149500E+04   0.149500E+04   0.150352E+04  -0.851882E+01  -0.569719E-01
   0.399000E+01   0.399000E+01   0.461000E+04   0.461000E+04   0.434968E+04   0.260324E+03   0.564638E+00
   0.420000E+01   0.420000E+01   0.485300E+04   0.485300E+04   0.464454E+04   0.208456E+03   0.429497E+00
   0.115000E+01   0.115000E+01   0.135400E+04   0.135400E+04   0.129945E+04   0.545462E+02   0.402781E+00
   0.100000E+01   0.100000E+01   0.107500E+04   0.107500E+04   0.119599E+04  -0.120986E+03  -0.112517E+01
   0.860000E+00   0.860000E+00   0.108600E+04   0.108600E+04   0.110649E+04  -0.204903E+02  -0.188635E+00
   0.530000E+00   0.530000E+00   0.930000E+03   0.930000E+03   0.929858E+03   0.142285E+00   0.152957E-02
   0.470000E+00   0.470000E+00   0.941000E+03   0.941000E+03   0.902015E+03   0.389846E+02   0.414192E+00
   0.331000E+01   0.331000E+01   0.353200E+04   0.353200E+04   0.345503E+04   0.769657E+02   0.217885E+00
   0.122000E+01   0.122000E+01   0.130900E+04   0.130900E+04   0.135023E+04  -0.412324E+02  -0.314928E+00
   0.516000E+01   0.516000E+01   0.530100E+04   0.530100E+04   0.609889E+04  -0.797893E+03  -0.150497E+01
   0.656000E+01   0.656000E+01   0.744400E+04   0.744400E+04   0.851577E+04  -0.107177E+04  -0.143959E+01
   0.404000E+01   0.404000E+01   0.422300E+04   0.422300E+04   0.415666E+04   0.663419E+02   0.157079E+00
   0.330000E+00   0.330000E+00   0.729000E+03   0.729000E+03   0.748495E+03  -0.194945E+02  -0.267329E+00
   0.670000E+00   0.670000E+00   0.830000E+03   0.830000E+03   0.899559E+03  -0.695586E+02  -0.837804E+00
   0.106000E+01   0.106000E+01   0.106900E+04   0.106900E+04   0.110702E+04  -0.380153E+02  -0.355533E+00
   0.600000E+00   0.600000E+00   0.914000E+03   0.914000E+03   0.867545E+03   0.464552E+02   0.508142E+00
   0.170000E+01   0.170000E+01   0.210900E+04   0.210900E+04   0.157222E+04   0.536778E+03   0.169671E+01
   0.380000E+00   0.380000E+00   0.872000E+03   0.872000E+03   0.770004E+03   0.101996E+03   0.116941E+01
   0.240000E+00   0.240000E+00   0.712000E+03   0.712000E+03   0.710399E+03   0.160090E+01   0.224775E-01
  -0.500000E+00  -0.500000E+00   0.452000E+03   0.452000E+03   0.428603E+03   0.233972E+02   0.517380E+00
   0.700000E+00   0.700000E+00   0.853000E+03   0.853000E+03   0.913422E+03  -0.604219E+02  -0.708141E+00
   0.168000E+01   0.168000E+01   0.172500E+04   0.172500E+04   0.155582E+04   0.169184E+03   0.653810E+00
   0.980000E+00   0.980000E+00   0.961000E+03   0.961000E+03   0.105864E+04  -0.976441E+02  -0.101579E+01
   0.630000E+00   0.630000E+00   0.840000E+03   0.840000E+03   0.881208E+03  -0.412077E+02  -0.490427E+00
   0.550000E+00   0.550000E+00   0.785000E+03   0.785000E+03   0.844965E+03  -0.599652E+02  -0.763649E+00
   0.158000E+01   0.158000E+01   0.159900E+04   0.159900E+04   0.147548E+04   0.123524E+03   0.514972E+00
   0.500000E+00   0.500000E+00   0.778000E+03   0.778000E+03   0.822627E+03  -0.446266E+02  -0.573429E+00
   0.100000E+01   0.100000E+01   0.998000E+03   0.998000E+03   0.107050E+04  -0.724957E+02  -0.726225E+00
   0.620000E+00   0.620000E+00   0.859000E+03   0.859000E+03   0.876644E+03  -0.176438E+02  -0.205343E+00
   0.150000E+00   0.150000E+00   0.645000E+03   0.645000E+03   0.673111E+03  -0.281109E+02  -0.435669E+00
   0.130000E+01   0.130000E+01   0.137800E+04   0.137800E+04   0.126621E+04   0.111787E+03   0.811091E+00
   0.105000E+01   0.105000E+01   0.105300E+04   0.105300E+04   0.110083E+04  -0.478309E+02  -0.454127E+00
   0.120000E+00   0.120000E+00   0.655000E+03   0.655000E+03   0.660862E+03  -0.586235E+01  -0.894704E-01
   0.110000E+01   0.110000E+01   0.105500E+04   0.105500E+04   0.103176E+04   0.232352E+02   0.220191E+00
   0.115000E+01   0.115000E+01   0.117300E+04   0.117300E+04   0.106374E+04   0.109263E+03   0.186160E+01
   0.269000E+01   0.269000E+01   0.238600E+04   0.238600E+04   0.231454E+04   0.714596E+02   0.598677E+00
   0.337000E+01   0.337000E+01   0.285600E+04   0.285600E+04   0.306082E+04  -0.204816E+03  -0.143346E+01
   0.470000E+00   0.470000E+00   0.693000E+03   0.693000E+03   0.681751E+03   0.112488E+02   0.324226E+00
