X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.303000E+01   0.303000E+01   0.188200E+04   0.188200E+04   0.191234E+04  -0.303403E+02  -0.245662E+00
   0.302000E+01   0.302000E+01   0.184500E+04   0.184500E+04   0.190524E+04  -0.602412E+02  -0.493420E+00
   0.313000E+01   0.313000E+01   0.196200E+04   0.196200E+04   0.198387E+04  -0.218695E+02  -0.172622E+00
   0.285000E+01   0.285000E+01   0.163100E+04   0.163100E+04   0.178607E+04  -0.155068E+03  -0.136007E+01
   0.408000E+01   0.408000E+01   0.278300E+04   0.278300E+04   0.271070E+04   0.722953E+02   0.447670E+00
   0.409000E+01   0.409000E+01   0.261500E+04   0.261500E+04   0.271880E+04  -0.103797E+03  -0.672595E+00
   0.199000E+01   0.199000E+01   0.126400E+04   0.126400E+04   0.122853E+04   0.354733E+02   0.352518E+00
   0.218000E+01   0.218000E+01   0.136600E+04   0.136600E+04   0.134499E+04   0.210117E+02   0.201796E+00
   0.137000E+01   0.137000E+01   0.938000E+03   0.938000E+03   0.876637E+03   0.613626E+02   0.677786E+00
   0.123000E+01   0.123000E+01   0.878000E+03   0.878000E+03   0.803409E+03   0.745908E+02   0.839420E+00
   0.277000E+01   0.277000E+01   0.168800E+04   0.168800E+04   0.173098E+04  -0.429819E+02  -0.370608E+00
   0.293000E+01   0.293000E+01   0.186400E+04   0.186400E+04   0.184179E+04   0.222074E+02   0.180979E+00
   0.430000E+01   0.430000E+01   0.290500E+04   0.290500E+04   0.289081E+04   0.141925E+02   0.849870E-01
   0.436000E+01   0.436000E+01   0.286800E+04   0.286800E+04   0.294067E+04  -0.726711E+02  -0.439232E+00
   0.610000E+01   0.610000E+01   0.446000E+04   0.446000E+04   0.451932E+04  -0.593185E+02  -0.248031E+00
   0.226000E+01   0.226000E+01   0.141600E+04   0.141600E+04   0.139519E+04   0.208100E+02   0.196558E+00
   0.402000E+01   0.402000E+01   0.287500E+04   0.287500E+04   0.266234E+04   0.212663E+03   0.128565E+01
   0.409000E+01   0.409000E+01   0.267000E+04   0.267000E+04   0.271880E+04  -0.487975E+02  -0.311485E+00
   0.559000E+01   0.559000E+01   0.401900E+04   0.401900E+04   0.403078E+04  -0.117818E+02  -0.539782E-01
   0.567000E+01   0.567000E+01   0.413300E+04   0.413300E+04   0.410604E+04   0.269638E+02   0.120590E+00
   0.657000E+01   0.657000E+01   0.496200E+04   0.496200E+04   0.498769E+04  -0.256916E+02  -0.976494E-01
   0.666000E+01   0.666000E+01   0.507200E+04   0.507200E+04   0.507933E+04  -0.732805E+01  -0.273061E-01
   0.544000E+01   0.544000E+01   0.396000E+04   0.396000E+04   0.389108E+04   0.689194E+02   0.319929E+00
   0.618000E+01   0.618000E+01   0.462600E+04   0.462600E+04   0.459783E+04   0.281747E+02   0.114075E+00
   0.740000E+01   0.740000E+01   0.589700E+04   0.589700E+04   0.588661E+04   0.103918E+02   0.337159E-01
   0.164000E+01   0.164000E+01   0.104700E+04   0.104700E+04   0.102446E+04   0.225448E+02   0.240413E+00
   0.199000E+01   0.199000E+01   0.126300E+04   0.126300E+04   0.122853E+04   0.344733E+02   0.342687E+00
   0.156000E+01   0.156000E+01   0.106800E+04   0.106800E+04   0.979767E+03   0.882329E+02   0.935911E+00
   0.146000E+01   0.146000E+01   0.944000E+03   0.944000E+03   0.924957E+03   0.190435E+02   0.209750E+00
   0.398000E+01   0.398000E+01   0.264100E+04   0.264100E+04   0.263027E+04   0.107283E+02   0.690761E-01
   0.415000E+01   0.415000E+01   0.287100E+04   0.287100E+04   0.276754E+04   0.103458E+03   0.625620E+00
   0.396000E+01   0.396000E+01   0.268600E+04   0.268600E+04   0.261429E+04   0.717066E+02   0.329846E+00
   0.398000E+01   0.398000E+01   0.274500E+04   0.274500E+04   0.263027E+04   0.114728E+03   0.517925E+00
